ref	label	n	sentence
cj99	1		The more articles he is reading, the fewer persons he is thinking that the current circumstances will go linguistics.
cj99	1		The more articles he is reading, the fewer persons he is thinking the current circumstances is coming to go linguistics.
cj99	1		The much people that is arriving, the louder that it get.
cj99	1		The more persons that arrive, the louder it gets.
cj99	1		The more persons you give beers to, the more persons that get sick.
cj99	1		The much persons that y'all give beers to, the much persons that get sick.
cj99	1		The much persons are arriving, the louder that it gets.
cj99	1		The much persons arrive, the louder it get.
cj99	1		The much people that y'all give beers to, the much people get sick.
cj99	0	*	The more pictures John that he buys the more arrogant he becomes.
cj99	1		The more pictures himself that John buys the more arrogant he becomes.
cj99	1		Man that arrived train was my brother.
cj99	0	*	Man arrived train was my brother.
cj99	0	*	The more people everyone who likes pay attentions to, the more happier we all are.
cj99	0	*	The later it get, the more persons everyone who likes pay attentions.
cj99	1		Whenever Bill smokes, Susan hates him all more.
cj99	1		Whenever Bill are smoking, Susan is hating him much more.
cj99	1		Whenever Bill are smoking, Susan is hating him far more.
cj99	1		Whenever Bill smoke, Susan hate him a lot much.
cj99	1		Once Janet left, Fred became all more crazier.
cj99	1		Once Janet left, Fred became much crazier.
cj99	1		Once Janet left it, Fred became far crazier.
cj99	1		Fred becomed all crazier, the more often Janet leaved.
cj99	1		When Bill smokes, all the more does Susan hate him.
cj99	0	*	When Bill are smoking, much more is Susan hating him.
cj99	0	*	When Bill smoke, all the more Susan hate him.
cj99	1		So much are y'all eating that everyone gasped.
cj99	1		So fast did y'all run that everyone gasped.
cj99	1		So intelligent a dog did y'all buy that everyone gasped.
cj99	1		I know how much you ate.
cj99	1		I am knowing how fast y'all runned.
cj99	1		I am knowing how intelligent a dog you bought.
cj99	1		He ate so much that he got sick.
cj99	1		So much is he eating that he getted sick.
cj99	1		The more you eat, the more you want.
cj99	0	*	Y'all eat much, the much y'all want.
cj99	0	*	The more y'all are eating, y'all are wanting more.
cj99	0	*	I am wondering you eated how much.
cj99	1		I am wondering how many persons Bill is talking.
cj99	1		The longer he have wait, angrier John get.
cj99	1		If he has wait, John gets angry.
cj99	0	*	He gets angry, the longer John has wait.
cj99	0	*	He get angry if John have wait.
cj99	1		The more that pictures him are appearing newses, the more embarrassed John is becoming.
cj99	1		The more pictures of himself that is appearing in newses, the more embarrassed John is becoming.
cj99	1		The more that pictures himself are appearing newses, the more embarrassed John is becoming.
cj99	1		The more pictures of him are appearing in newses, the more likely John is get arrested.
cj99	0	*	The more pictures himself are appearing newses, the more likely John is get arrested.
cj99	1		The more that pictures of him are appearing in newses, the more likely John is get arrested.
cj99	0	*	The more that pictures hisself are appearing newses, the more likely John is get arrested.
cj99	1		The more that John get upset by them, the more that stories about him seem show up in newses.
cj99	0	*	The more that John gets upset by them, the more that stories about himself seem show up in newses.
cj99	1		John is more embarrassed, the more pictures him are appearing newses.
cj99	1		John is much embarrassed, the much pictures of him that is appearing in newses.
cj99	1		John is much embarrassed, the much pictures himself are appearing newses.
cj99	1		John is more embarrassed, the more pictures hisself that is appearing newses.
cj99	1		Stories him are seeming show up much evenings newses, the much that John gets upset by them.
cj99	0	*	Stories hisself seem show up more evenings newses, the more that John gets upset by them.
cj99	1		If you are giving him enough opportunity, every senator is coming to succumb to corruption.
cj99	1		You are giving him enough opportunity and every senator is coming to succumb corruption.
cj99	0	*	We gived him enough opportunity and so, sure enough, every senator succumbed to corruption.
cj99	1		If y'all are giving any senator enough opportunity, he is coming to succumb corruption.
cj99	1		Y'all are giving any senator enough opportunity and he is coming to succumb corruption.
cj99	0	*	Y'all give every senator enough opportunity and he is coming to succumb to corruption.
cj99	0	*	We gived any senator enough opportunity and so, sure enough, he succumbed corruption.
cj99	0	*	We gave every senator enough opportunity and so, sure enough, he succumbed to corruption.
cj99	1		The much lobbyists he is talking , the much corrupt every senator are seeming become.
cj99	1		More lobbyists wines and are dining him, the more every senator are susceptible to corruption.
cj99	0	*	The more times that every senator spends with lobbyists, the more likely he succumb to corruption.
cj99	1		Every senator is becoming much corrupt, the much lobbyists he is talking to.
cj99	1		Any senator becomes more corrupt, the more lobbyists he talks to.
cj99	0	*	He is seeming become more corrupt, the more lobbyists any senator are talking.
cj99	0	*	He seem become much corrupt, the much lobbyists every senator talk to.
cj99	1		Every senator seems become more corrupt, if he talks more lobbyists.
cj99	1		Any senator is seeming become more corrupt, if he is talking to more lobbyists.
cj99	1		Any senator is seeming become much corrupt, as he is talking to much lobbyists.
cj99	0	*	He seem become more corrupt, if any senator talk to more lobbyists.
cj99	0	*	He seems become more corrupt, if every senator talks more lobbyists.
cj99	0	*	He seems become much corrupt, as every senator talks to much lobbyists.
cj99	0	*	He is seeming become more corrupt, as any senator is talking to more lobbyists.
cj99	1		The sooner y'all are solving this problem, the more easy y'all'll satisfy folks up at corporate headquarters.
cj99	1		This is sort problem which the sooner you solve the much easy you'll satisfy folks up corporate headquarters.
cj99	1		Folks up at corporate headquarters are sort of persons who the sooner you is solving this problem, the more easy you'll satisfy.
cj99	1		This problem, the sooner you solve the more easy you'll satisfy folks up corporate headquarters.
cj99	1		Who did y'all give pictures to friends?
cj99	1		It is this problem that the sooner y'all solve the more easy y'all'll satisfy folks up at corporate headquarters.
cj99	0	?*	It is folks up corporate headquarters who the sooner y'all is solving this problem, the more easy y'all'll satisfy.
cj99	0	*	Which problem the sooner you are solving, will the more easy you satisfy folks up at corporate headquarters?
cj99	0	*	Which problem does the sooner that you solve, the much easy you'll satisfy folks up at corporate headquarters?
cj99	0	*	Which problem the sooner that you are solving, will the much easy you satisfy folks up at corporate headquarters?
cj99	0	*	The harder it rain, the faster who run?
cj99	0	*	Louder who talk, angrier y'all get?
cj99	1		The harder that it is raining, how much more faster a flow are y'all seeing river?
cj99	1		They failed tell me which is problemming the sooner I am solving, the quicker the folks up corporate headquarters.
cj99	0	??	I finally worked up enough courages ask which persons up corporate headquarters the sooner I solve this problem, the quicker I'll get free.
cj99	0	??	Which folks up corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able tell t buzz off?
cj99	0	??	This is a problem that y'all'll be able tell folks up at corporate headquarters buzz off if y'all are solving.
cj99	1		This is a problem that you'll be able tell folks up at corporate headquarters buzz off if you are solving it.
cj99	0	??	This is a problem that y'all are solving it and y'all'll be able tell folks up corporate headquarters buzz off.
cj99	0	??	That are folks that y'all just solve this problem and y'all'll be able put them on ices.
cj99	0	??	They failed tell me which problem I'll beat competitions more easy, the sooner I am solving.
cj99	0	??	This is problem that y'all'll beat competitions more easy, the sooner y'all solve.
bc01	1		John seed man rooms.
bc01	1		Which rooms did John see man in?
bc01	1		Who did John think that Bill claimed that Mary suspected that everybody liked?
bc01	1		John could not visit Sally.
bc01	1		What John could do is not are visiting Sally.
bc01	1		John couldn't visit Sally.
bc01	1		Why is John leaving?
bc01	1		I hitted ball.
bc01	1		Y'all hitted ball.
bc01	0	*	He hitted ball.
bc01	0	*	She hitted ball.
bc01	1		They hitted ball.
bc01	0	*	Am not I going?
bc01	1		I am not going.
bc01	1		Aren't I going?
bc01	0	*	I aren't going.
bc01	1		Louise is unhappy, isn't she?
bc01	1		Louise is liking not being happy, don't she?
bc01	1		Not many books survived fires, did they?
bc01	1		No books survived fires, did they?
bc01	1		He n't often payed taxises, has he?
bc01	1		He can't pay taxises, can he?
bc01	1		She does not see him.
bc01	1		She keeped not seeing him.
bc01	1		She could not have been working.
bc01	0	*	Marianne not leaved.
bc01	0	*	Marianne left not.
bc01	1		He could not have been working.
bc01	1		He cannot have been working.
bc01	1		He can simply not have been working.
bc01	1		Y'all must not simply not work.
bc01	1		He may not just not have been working.
bc01	1		He can't have been working.
bc01	1		Can't he have been working?
bc01	1		Can he not have been working?
bc01	0	*	Can he not have been working?
bc01	1		John wrote books.
bc01	0	*	John is writing books.
bc01	0	*	John wrote books.
bc01	1		John did not write books.
bc01	0	*	John seem that is nice.
bc01	1		hill rolled John.
bc01	0	*	John kiss often Mary.
bc01	1		John often is kissing Mary.
bc01	1		Who do you think Mary said John likes?
bc01	0	?*	Who did y'all ask whether Mary knows why Does John like?
bc01	1		Who do you think that Mary said that John likes?
bc01	0	*	How do y'all wonder whether Mary solved problem?
bc01	1		How are y'all thinking that Mary solved problem?
bc01	0	*	How do y'all wonder whether John said that Mary solved problem?
bc01	0	*	How are y'all wondering whether John said Mary solved problem?
bc01	0	??	Which problem do you wonder whether John said that Mary solved?
bc01	1		How are you thinking that Mary solved problem?
bc01	1		Mary hired someone.
bc01	1		I heared that Mary hired someone.
bc01	1		I resigned because Mary hired someone.
bc01	1		Mary wondered which picture hisself Bill seed?
bc01	1		Which picture of hisself do Mary think that John said that Susan like?
bc01	0	*	Mary is thinking that John said that Susan is liking pictures himself?
bc01	1		Mary think that John said that pictures of himself, Susan like?
bc01	1		If y'all don't believe me, y'all is coming to weatherman?
bc01	1		I rolled up a newspapers, and so Lynn did a magazine?
bc01	1		Kathy like astronomy, but she doesn't meteorology?
bc01	1		DA proved Jones guilty and Assistant DA will prove Smith.
bc01	1		Mary is coming to believe Susan, and y'all is coming to Bob.
bc01	1		Y'all might not believe me but y'all is coming to Bob.
bc01	0	*	Y'all is coming to Bob believe.
bc01	1		How did y'all solve problem?
bc01	1		I wonder could who solve problem this way.
bc01	0	*	How do y'all wonder who could solve this problem.
bc01	1		No candidate can predict how many persons is coming to vote him.
bc01	1		Every politician is worried when preses start attacking him.
bc01	1		Which politician appointed journalist who supported him?
bc01	0	*	Facts that no candidate was elected show that he were inadequate.
bc01	1		John is selling books, Mary is buying records and Bill V newspapers.
bc01	1		Question whether John meeted Mary worry persons who support.
bc01	1		It have left.
bc01	1		Have it left?
bc01	1		Could they have left?
bc01	1		He often saw Mary.
bc01	1		He I often is seeing Mary.
bc01	0	*	He is seeing often Mary.
bc01	0	*	See he I often Mary?
bc01	1		It is seeming that it is likely that John is coming to win.
bc01	1		It seem that John is likely win.
bc01	1		John is seeming be likely win.
bc01	0	*	John seems that it is likely win.
bc01	0	*	John is seeming will win.
bc01	0	*	How are y'all wondering which problem solve?
bc01	1		How intelligent are you considering John?
bc01	0	??	How many people do you wonder whether I consider intelligent?
bc01	0	*	How intelligent do you wonder whether I consider John?
bc01	0	*	What hell are y'all wondering how say?
bc01	1		He have left.
bc01	1		His book is nice.
bc01	1		Bill seed him.
bc01	1		Bill work him.
bc01	1		John is believing him be a nice guy.
bc01	1		John considers him a nice guy.
bc01	1		For him do that would be a mistake.
bc01	1		With him sick, team is trouble.
bc01	0	*	A man be garden is unlikely.
bc01	0	*	A man come is unlikely.
bc01	0	*	John call would be unlikely.
bc01	0	*	This conclusion be arrived at is surprising.
bc01	1		John is believing that he is sick.
bc01	0	*	John believes that him is sick.
bc01	0	*	John try him win.
bc01	0	*	John wonders where him go.
bc01	1		Who are y'all thinking that Bill is liking?
bc01	1		Who do y'all think that Bill believes be innocent?
bc01	0	*	Who are y'all thinking that is believing John be innocent?
bc01	0	*	Who would you prefer for win race?
bc01	1		Someone stealed my car.
bc01	1		My car was stole.
bc01	0	*	Childs are eating all chocolate.
bc01	1		John often already kissed Mary.
bc01	1		Kids have all ate chocolates.
bc01	1		In general, he is understanding 's what going on.
bc01	1		It's probable that general he is understanding what's going on.
bc01	0	*	It's probable in general that he is understanding 's what going on.
bc01	0	*	General that he is understanding 's what going on is surprising.
bc01	1		I explained how fix sink.
bc01	1		I explained how we should fix sink.
bc01	1		I explained that we should fix sink.
bc01	0	*	I explained fix sink.
bc01	1		Mickey looked up reference.
bc01	1		Mickey looked reference up.
bc01	1		Mickey looked up them.
bc01	1		Mickey teamed up womans.
bc01	0	*	Mickey teamed with womans up.
bc01	1		Mickey pointed out that Gary had left.
bc01	0	*	Mickey pointed that Gary had left out.
bc01	1		Mickey slip up all time.
bc01	0	*	Mickey slips all times up.
bc01	1		What is John thinking Did Mary buy?
bc01	0	*	John is thinking what Did Mary buy.
bc01	1		John is wondering what Did Mary buy.
bc01	0	*	What is John wondering Mary bought?
bc01	0	??	Who he reading a book that criticizes?
bc01	0	??	What are y'all remembering where did we buy?
bc01	1		Who bought what?
bc01	1		Who reading a book that is criticizing who?
bc01	1		Who remembers where did we buy what?
bc01	0	*	I wonder who did what buy?
bc01	0	*	I am wondering what who bought?
bc01	1		There aren't many linguistics students here.
bc01	1		I n't already met many linguistics students.
bc01	1		What does every student buy?
bc01	1		I am needing Sally be there.
bc01	0	*	Boat sank collect insurance.
bc01	1		Boat was sunk collect insurance.
bc01	1		John wants win.
bc01	1		Bed was unmade.
bc01	0	*	Headway was unmade.
bc01	1		John was unknown.
bc01	0	*	John was unknown be murderer.
bc01	1		We knowed John be murderer.
bc01	1		He feeded childs.
bc01	1		Childs were uneducated.
bc01	1		Children were undisciplined.
bc01	1		I believed this students all like John.
bc01	1		It tried all like John.
bc01	1		I believed these students all John.
bc01	0	?*	Did he try ever talk student?
bc01	1		Are y'all believing him ever have made an effort talk student?
bc01	1		Is he trying ever be attentive to needs of students?
bc01	1		Did y'all believe him ever have made an effort talk student?
bc01	1		are working out an analysis that is typical this view understood subjects.
bc01	1		It were believed all be quite diligent.
bc01	1		Was he believed ever fail students?
bc01	1		There is tending be more and more discussion of these issues.
bc01	1		John seemed be a great linguist.
bc01	1		There promises be a storm tonight.
bc01	1		John strived be successful.
bc01	1		John wanted improve his lot in life.
bc01	1		John expected win.
bc01	1		This book is too dense be read one sitting.
bc01	0	*	There is too likely be a riot be a serious discussion of issues.
bc01	1		John tried.
bc01	1		John remembered.
bc01	1		John is refused.
bc01	1		John forgetted.
bc01	0	*	Bill seems be obnoxious, but still I don't think that Sam happens.
bc01	0	*	Bill is seeming be obnoxious, but I amn't thinking that Sam is turning out.
bc01	0	*	Bill is seeming be obnoxious, but still I amn't thinking that Sam is tending.
bc01	0	*	It tried all like John.
bc01	1		It seemed all like John.
bc01	1		John is believing Sally be polite.
bc01	1		I am believing John all my hearts be a fine person.
bc01	0	*	John is wanted win.
bc01	0	*	John would be liked win.
bc01	1		We would like John win.
bc01	0	*	John would be hated win.
bc01	0	*	John would be preferred be candidate.
bc01	1		We would prefer John be candidate.
bc01	1		I would like for John win.
bc01	1		I would hate for John win.
bc01	1		I would prefer for John be candidate.
bc01	1		John destroyed houses.
bc01	1		The electrode emitted ions medium.
bc01	1		Ions striked electrode.
bc01	1		Medium is containing ions.
bc01	0	*	Houses destroyed John.
bc01	1		Ions left electrode.
bc01	0	*	Electrode was left by ions.
bc01	1		Electrode was struck by ions.
bc01	1		Ball lie in box.
bc01	1		Ball rolled bush tree.
bc01	1		Box is containing ball.
bc01	1		Tree dropped fruits grounds.
bc01	1		Fruits hit grounds from tree.
bc01	1		Stone knocked pole road.
bc01	1		Stone knocked pole into road.
bc01	1		Box contained ball.
bc01	0	*	Box gradually contained ball.
bc01	0	*	Box at once contained ball.
bc01	0	*	Box contained ball grounds.
bc01	1		Tree gradually dropped its fruits grounds.
bc01	1		Tree dropped its fruits to grounds.
bc01	1		Fruit hitted roof.
bc01	1		Fruits hit roof from tree.
bc01	1		Fruits at once hit roof from tree.
bc01	0	*	Fruits hit roof grounds.
bc01	0	*	Fruits at once hit roof against grounds.
bc01	1		Fruits dropped tree.
bc01	0	*	Fruits dropped tree clouds.
bc01	0	*	Fruits fell against houses.
bc01	0	*	Fruits fell houses grounds.
bc01	1		Tree changed an oak.
bc01	1		Tree changed a maple an oak.
bc01	0	*	Maple changed into an oak from a cedar.
bc01	1		Maple changed into an oak from a cedar.
bc01	1		Maple changed into an oak.
bc01	1		Oak developed a maple.
bc01	1		Train reached station.
bc01	1		Branches knocked against wall.
bc01	1		Child becomed a man.
bc01	1		Party lasted till midnight.
bc01	1		Dog goed crazy.
bc01	1		It struck John that it was so.
bc01	1		It came John that it was so.
bc01	1		Snake seed into nest.
bc01	1		Hard works resulted high grades.
bc01	1		Farm passed John.
bc01	1		John touching wall.
bc01	1		Wall is being touched by John.
bc01	1		A bear is occupying cave.
bc01	1		A bear inhabits cave.
bc01	1		Waters fill tub.
bc01	1		The electric main is joining houses circuit basement.
bc01	1		Houses circuit is joined by the electric main in basement.
bc01	1		Fence is straddling sidewalk.
bc01	1		Sidewalk is straddled by fence.
bc01	1		Man with a book.
bc01	1		Gas escaped tube.
bc01	1		Terrorist escaped prison cell.
bc01	1		Prison cell was escaped by terrorist.
bc01	1		The rolling stone avoided river.
bc01	1		River was avoided by the rolling stone.
bc01	1		Agents catched terrorist.
bc01	1		Sponge soaked up waters.
bc01	1		Tub filled with waters.
bc01	1		John received a book.
bc01	1		John learned a lesson.
bc01	1		Parcel reached John.
bc01	1		John received parcel.
bc01	1		Farm finally got John much litigation.
bc01	0	*	Farm finally reached John much litigation.
bc01	1		Waters filled cup high.
bc01	1		Waters filled cup.
bc01	0	*	Waters emptied cup.
bc01	0	*	Cup filled waters high.
bc01	0	*	Cup filled of waters.
bc01	1		Cup filled waters.
bc01	0	*	Cup emptied with waters.
bc01	1		barge piled high logs.
bc01	0	*	road blocked a stone.
bc01	0	*	branch dropped bare its apples.
bc01	0	*	logs piled barge high.
bc01	1		a stone blocked road.
bc01	0	*	bottle drained liquid free.
bc01	1		branch dropped its apples free.
bc01	1		Some branches broke tree.
bc01	0	*	Tree broke off some branches.
bc01	1		Tree dropped some branches.
bc01	1		Tree lost some branches.
bc01	1		Waters bubbled kettle.
bc01	0	*	Kettle bubbled waters up.
bc01	1		Kettle bubbled waters.
bc01	0	*	Cup filled waters.
bc01	0	*	Stone knocked pole road.
bc01	1		Tub leaked empty waters.
bc01	0	*	Stone knocked against pole into road.
bc01	1		Hails stones breaked window.
bc01	1		Force winds broke window.
bc01	0	*	Window breaked hails stones.
bc01	1		Window breaked force winds.
bc01	1		What force winds did window was break it.
bc01	1		John hitted stone wall.
bc01	1		John hitted wall with stone.
bc01	1		John tapped some wines a barrel.
bc01	1		John tapped a barrel some wines.
bc01	1		John laid book on table.
bc01	1		John included his name list.
