ref	label	n	sentence
cj99	1		Keep your mouth to shut tighter, the much John eat, OK?
cj99	1		Everyone is keeping your mouth are shutting tighter, the more John eat, OK?
cj99	0	??	I can well imagine the more eating, the more fatter getting.
cj99	1		Bill can well imagine getting like fat.
cj99	0	*	Bill can well imagine the much is eating, that more fatter getting.
cj99	1		Fred can well imagine Joe getting more fatter, the much eat.
cj99	0	*	Is like important the more are eating, like the more careful to be.
cj99	0	*	Is like important for the more are eating, like the more careful to be.
cj99	0	*	Is important a much to eat, a much careful to be.
cj99	0	*	Is like important the more y'all are eating, like the more careful y'all to be.
cj99	0	*	Is like important the much are eating, like the much careful for to be.
cj99	0	*	It is like important for the more y'all to eat, like the more careful to be.
cj99	0	*	Is like important for the more to eat, like the more careful for to be.
cj99	0	*	It is like important the much y'all to eat, like the much careful for y'all to be.
cj99	0	*	Is like important for a more are eating, a more careful to be.
cj99	1		Is important for to be much careful, the much are eating.
cj99	1		Is like important to be like more careful, a more are eating.
cj99	0	*	Can well imagine quickly Mary answering question.
cj99	0	?*	Can well imagine with the hatchet Mary destroying Jeep.
cj99	0	?*	I can well imagine if is eating much, getting like fat.
cj99	0	*	Is not like entirely obvious if, Mary is listening to Grateful Dead, gets like depressed.
cj99	0	*	Isn't like entirely obvious whether, Mary is listening Grateful Dead, getting like depressed.
cj99	1		Mary is listening to Grateful Dead and so gets like depressed.
cj99	1		If Mary is listening to Grateful Dead, getting like depressed.
cj99	1		When Mary is listening Grateful Dead, getting like depressed.
cj99	1		Mary getting like depressed if is listening to those Grateful Dead.
cj99	1		Mary getting like depressed when is listening Grateful Dead.
cj99	1		The much he had looked at picture, that angrier Mary had gotten.
cj99	0	*	A more picture Mary had looked at, had gotten more angrier and more angrier.
cj99	1		Mary gets like depressed and is listening to Grateful Dead.
cj99	1		Like The higher stakes are, the lower his expectations are.
cj99	1		The more higher the stake, the more lower his expectation.
cj99	1		Hi expectations are like lower, the higher the stakes.
cj99	1		Hi expectation are like lower, the higher stake are.
cj99	0	*	Hi expectations lower, a higher a stakes.
cj99	0	*	His expectation lower, the more higher stake are.
cj99	1		Those much obnoxious Fred are, that less attentions should pay it to her.
cj99	0	*	A much obnoxious To him Fred, a less attentions should pay it.
cj99	1		The much Fred are like obnoxious, the less y'all should to him pay attentions.
cj99	0	*	A much obnoxious Fred, a less should to him pay the attention.
cj99	1		His expectations than mine are always like lower.
cj99	1		John had been lots like more obnoxious than Fred had been.
cj99	1		Should always lock your door, no matter like how fancy that hotel can be.
cj99	1		Y'all should always lock your door, no matter how fancy a hotel.
cj99	1		Amn't planning to lock door, no matter like how fancy this hotel is.
cj99	0	*	Amn't planning to lock that door, no matter like how fancy this hotel.
cj99	1		'm going out, whatever a weathers.
cj99	1		'm going out, wherever that hurricane can be.
cj99	0	*	'm going out, wherever that hurricane.
cj99	1		The much example is saying that Bill has helped Fred to discover the less am believing her.
cj99	0	*	That more foods Mary know the which what eats poorer man gets them.
cj99	0	*	The more fatter is going one doctor when gets much is eating.
cj99	0	*	More fatter that that gets are bothering him, the more is eating.
cj99	0	*	The much book am asking whom would give, the much are reading.
cj99	0	*	The much persons I asking what-what will he give to much he reads it.
cj99	1		The much carefully is wording letter like the more safer 'll be.
cj99	0	*	The more carefully is knowing man that had worded letter like the more safer 'll be.
cj99	1		The more geniuse John meets them, that angrier gets it.
cj99	0	*	The more John is meeting geniuses, angrier gets it.
cj99	1		The much persons are saying would buy ticket, the more happier I'll be.
cj99	0	*	A much persons say them that would buy ticket, a happier I'll be.
cj99	1		The much persons say them that right after show opens it would buy tickets, the more happier 'll be.
cj99	1		The more to Joe , about linguistics talk  the less am like inclined to think Sally taught him to appreciate.
cj99	0	*	A more is eating, a poorer is knowing woman which what gets.
cj99	0	*	A more she is eating, a fatter she is going to the doctor when she gets.
cj99	0	*	The more is eating, fatter that that gets really are bothering me.
cj99	0	*	The much reads, the much books wonder them to whom-all would give.
cj99	0	*	The much is reading, the much persons am wondering what-what would give to.
cj99	0	*	A sooner are calling, a much carefully am knowing the which what would word a letter man.
cj99	1		The richer John gets, the much geniuses John meets them.
cj99	0	*	More richer gets, the much John is meeting geniuses.
cj99	1		The much into linguistics articles himself is reading, the fewer persons himself is thinking would go.
cj99	0	*	The more into linguistics articles reads them, the fewer persons thinks them that would go.
cj99	1		The much under the current circumstances into linguistics articles reads them, the fewer persons thinks them that would go.
cj99	1		The more articles is reading, the fewer persons is thinking under the current would go linguistics circumstances.
cj99	1		A more persons that is arriving, a louder that gets.
cj99	1		The much persons that is arriving, the louder gets.
cj99	1		The more persons are giving beer to, the more persons that get like sick.
cj99	1		A much persons that what give beers to, a much persons that get like sick.
cj99	1		The much persons are arriving, the louder that gets.
cj99	1		The more persons are arriving, the louder getting.
cj99	1		The much persons that give beers to, the much persons get like sick.
cj99	0	*	The much pictures of John which what is buying the much arrogant are becoming.
cj99	1		The more pictures himself that John buys the more arrogant becoming.
cj99	1		That man that had arrived on that train had been my brother.
cj99	0	*	Man had arrived on train have been my brother.
cj99	0	*	A more persons everyone who likes pay attentions to, a happier all are.
cj99	0	*	The later gets, the much persons everyone who likes paying the attention to.
cj99	1		Whenever Bill are smoking, Susan is hating him all more.
cj99	1		Whenever Bill are smoking, Susan is hating her much more.
cj99	1		Whenever Bill are smoking, Susan is hating him far more.
cj99	1		Whenever Bill are smoking, Susan is hating him the lot much.
cj99	1		Once Janet left it, Fred become all crazier.
cj99	1		Once Janet had left, Fred had become like much more crazier.
cj99	1		Once Janet left it, Fred become like far more crazier.
cj99	1		Fred become all more crazier, the much often Janet leaving.
cj99	1		When Bill is smoking, all a much is Susan hating him.
cj99	0	*	When Bill smokes, much much Susan hate her.
cj99	0	*	When Bill is smoking, all the much Susan is hating him.
cj99	1		So much eating that everyone had gasped.
cj99	1		So fast are running that everyone had gasped.
cj99	1		So intelligent the dog buying that everyone had gasped.
cj99	1		Am knowing how much are eating.
cj99	1		Am knowing how fast have run.
cj99	1		Am knowing how intelligent the dog bought it.
cj99	1		Had eaten so much that had gotten like sick.
cj99	1		So much is eating that had gotten like sick.
cj99	1		The more y'all eat, the more y'all wanting.
cj99	0	*	Are eating more, the more you are wanting.
cj99	0	*	The much you are eating, are wanting much.
cj99	0	*	Am wondering have eaten how much.
cj99	1		Am wondering how many persons Bill is talking.
cj99	1		The longer has to wait, that angrier John getting.
cj99	1		If has to wait, John getting like angry.
cj99	0	*	Get like angry, the longer John gotta wait.
cj99	0	*	Getting like angry if John would gotta wait.
cj99	1		The much that picture of are appearing news him, the much embarrassed John is becoming.
cj99	1		The much picture of is appearing news himself, the much embarrassed John is becoming.
cj99	1		The more that picture of himself are appearing in that newses, those more embarrassed John is becoming.
cj99	1		The much picture him are appearing newses, like the much likely John is to get arrested.
cj99	0	*	The much picture of himself are appearing in newses, like the much likely John is to get arrested.
cj99	1		The much that pictures of her are appearing in newses, like the much likely John is to get arrested.
cj99	0	*	The more that pictures himself are appearing newses, like the more likely John is to get arrested.
cj99	1		The much that John gets it like upset by them, the much that story about him seeming to show up in that newses.
cj99	0	*	The more that gets it like upset by them, the more that stories himself are seeming to show up newses.
cj99	1		John is like more embarrassed, the more pictures of her are appearing in that newses.
cj99	1		John is like more embarrassed, the more pictures him is appearing newses.
cj99	1		John is like more embarrassed, the more pictures himself are appearing newses.
cj99	1		John is like more embarrassed, the more picture of himself what which is appearing in that newses.
cj99	1		Story about her are seeming to show up more on a evenings newses, a more what which John gets like upset by them.
cj99	0	*	Stories about himself are seeming to show up more on evenings newses, the more that what get like upset by them.
cj99	1		Are giving him enough opportunity, every senator would to corruption succumb.
cj99	1		Are giving him enough opportunity and so every senator would succumb the corruption.
cj99	0	*	Giving him enough opportunity and so, sure enough, every senator to corruption succumbed.
cj99	1		Y'all are giving any senator enough opportunity, he would to corruption succumb.
cj99	1		Y'all are giving any senator enough opportunity and himself would to corruption succumb.
cj99	0	*	Y'all are giving every senator enough opportunity and so she would to corruption succumb.
cj99	0	*	Have given any senator enough opportunity and so, sure enough, had succumbed the corruption.
cj99	0	*	Given every senator enough opportunity and, sure enough, to corruption succumbed.
cj99	1		The much lobbyists is talking to, the much corrupt every senator are seeming to become.
cj99	1		More lobbyists wine and are dining him, the more every senator to corruption is like susceptible.
cj99	0	*	A more time that every is spending lobbyists, a more likely is succumbing the corruption.
cj99	1		Every senator become like more corrupt, the more lobbyist talk.
cj99	1		Any senator is becoming like more corrupt, the more lobbyists is talking.
cj99	0	*	Seem to become like more corrupt, the more lobbyists any senator talk.
cj99	0	*	Is seeming to become much corrupt, the much lobbyist every senator are talking to.
cj99	1		Every senator is seeming to become much corrupt, if is talking to much lobbyists.
cj99	1		Any senator is seeming to become much corrupt, if she is talking to much lobbyists.
cj99	1		Any senator is seeming to become like more corrupt, as is talking to more lobbyists.
cj99	0	*	Seem to become much corrupt, if any senator talk much lobbyist.
cj99	0	*	Is seeming to become much corrupt, if every senator is talking to much lobbyists.
cj99	0	*	To more lobbyists seems to become like more corrupt, as every senator talks.
cj99	0	*	She is seeming to become like more corrupt, as any senator is talking to more lobbyists.
cj99	1		The sooner are solving this problem, the more easy 'll at corporate headquarters satisfy folks up.
cj99	1		This is sort of problem what that the sooner y'all is solving the more easily y'all'll satisfy folks up at corporate headquarters.
cj99	1		Folks up corporate headquarters are sort persons who the sooner is solving this problem, the much easily 'll satisfying.
cj99	1		This problem, the sooner are solving the much easily 'll at corporate headquarters satisfy folk up.
cj99	1		Who-all are y'all giving picture to friends?
cj99	1		Is this problem that the sooner are solving the more easily 'll at corporate headquarters satisfy folk up.
cj99	0	?*	It is a folks up corporate headquarter which what a sooner is solving this problem, a much easily 'll satisfying.
cj99	0	*	Which problem the sooner are solving, gon the much easily at corporate headquarters satisfy folks up?
cj99	0	*	Which problem does the sooner what which solve it, the much easily 'll satisfy folks up corporate headquarter?
cj99	0	*	Which problem the sooner that y'all are solving, gon the more easily y'all at corporate headquarters satisfy folks up?
cj99	0	*	The more harder it is raining, the faster that what is running?
cj99	0	*	Louder that what talk, angrier get?
cj99	1		The harder that rains, how much more faster the flow in the river see?
cj99	1		At corporate headquarters failed to tell me does which problem the sooner solve it, the quicker the folk up.
cj99	0	??	Finally worked up enough courages to ask which persons up corporate headquarter the sooner am solving this problem, the quicker 'll get like free.
cj99	0	??	Which is folking up at corporate headquarters are thinking that the sooner are solving this problem, the quicker 'll be like able to tell t to buzz?
cj99	0	??	This at corporate headquarters is problem that 'll be like able to tell folk up to buzz off if are solving.
cj99	1		This at corporate headquarters is the problem that 'll be like able to tell folks up to buzz off if are solving.
cj99	0	??	This is problem that are solving and 'll be like able to tell folks up corporate headquarter to buzz off.
cj99	0	??	That folks which what just are solving this problem and 'll be like able to put them ices.
cj99	0	??	It have failed to tell me which problem I'll beat a competitions more easily, a sooner I am solving.
cj99	0	??	This is problem what which 'll beat competitions much easy, the sooner are solving.
bc01	1		John had seen man in rooms.
bc01	1		Which room John seeing man in?
bc01	1		Who-who John think that Bill had claimed that Mary had suspected that everybody had liked?
bc01	1		John could not visit Sally.
bc01	1		What-what John can do is not are visiting Sally.
bc01	1		John cann't visit Sally.
bc01	1		Why is John leaving?
bc01	1		Have hit ball.
bc01	1		Have hit that ball.
bc01	0	*	Had hit ball.
bc01	0	*	Had hit that ball.
bc01	1		Have hit ball.
bc01	0	*	Not I am going , isn't it?
bc01	1		Am not going.
bc01	1		N't I are going , isn't it?
bc01	0	*	Aren't going.
bc01	1		Louise is like unhappy, isn't?
bc01	1		Louise is liking isn't like happy, don't?
bc01	1		Not many books survived fires, did?
bc01	1		No books have survived fire, have done?
bc01	1		She hasn't often paid taxises, has she?
bc01	1		Can't pay taxises, can?
bc01	1		Is not seeing him.
bc01	1		Had kept not seeing him.
bc01	1		Could not have been working.
bc01	0	*	Marianne not leave.
bc01	0	*	Marianne had left not.
bc01	1		Can not have been working.
bc01	1		Cannot have been working.
bc01	1		Can simply not have been working.
bc01	1		Must not simply not work.
bc01	1		May not just not have been working.
bc01	1		Can't have been working.
bc01	1		Can't himself have been working?
bc01	1		Can not have been working?
bc01	0	*	Can not have been working?
bc01	1		John writing books.
bc01	0	*	John is writing book.
bc01	0	*	John had written books.
bc01	1		John did not wrote no books.
bc01	0	*	John is seeming that is like nice.
bc01	1		down have rolled John hill.
bc01	0	*	John is kissing often Mary.
bc01	1		John often is kissing Mary.
bc01	1		Who-who thinking Mary had said John likes?
bc01	0	?*	Who-who y'all ask whether Mary knows why Does John like?
bc01	1		Who-all are y'all thinking that Mary had said that John are liking?
bc01	0	*	How wonder whether Mary solve problem?
bc01	1		How think that Mary had solved that problem?
bc01	0	*	How wonder whether John say that Mary solve problem?
bc01	0	*	How are wondering whether John had said Mary had solved problem?
bc01	0	??	Which problem y'all wonder whether John had said that Mary had solved?
bc01	1		How are thinking that Mary had solved problem?
bc01	1		Mary had hired someone.
bc01	1		Have heard that Mary had hired someone.
bc01	1		Have resigned because Mary had hired someone.
bc01	1		Mary of himself wondered which picture Bill seen?
bc01	1		Which picture of himself Mary think that John had said that Susan likes?
bc01	0	*	Mary of himself thinks that John had said that Susan likes picture?
bc01	1		Mary of himself thinks that John had said that picture , Susan likes?
bc01	1		If aren't believing me, would weatherman?
bc01	1		Have rolled up newspaper, and Lynn had done magazine?
bc01	1		Kathy is liking astronomy, which isn't meteorologying?
bc01	1		DA had proved Jones guilty and Assistant DA would prove Smith.
bc01	1		Mary would believing Susan, and would Bob.
bc01	1		Might not believing me but would Bob.
bc01	0	*	Would Bob believe.
bc01	1		How solve problem?
bc01	1		Am wondering who-all could solve this way problem.
bc01	0	*	How y'all wondering could who solve this problem.
bc01	1		No candidate can for him predict how many persons would vote.
bc01	1		Every politician is like worried when a preses start attacking her.
bc01	1		Which politician had appointed a who had supported him journalist?
bc01	0	*	Fact that no candidate have been elected is showing that had been like inadequate.
bc01	1		John is selling book, Mary is buying record and Bill V newspaper.
bc01	1		A question whether John had met Mary is worrying a persons is supporting.
bc01	1		Have leaving.
bc01	1		Left?
bc01	1		Could left?
bc01	1		Often seen Mary.
bc01	1		I often is seeing Mary.
bc01	0	*	Is seeing often Mary.
bc01	0	*	Are Seeing I often Mary?
bc01	1		It is seeming that is like likely that John would win.
bc01	1		Is seeming that John is like likely to win.
bc01	1		John seem to be like likely to win.
bc01	0	*	John is seeming that is like likely to win.
bc01	0	*	John is seeming would win.
bc01	0	*	How wondering which problem to solve?
bc01	1		Like How intelligent considering John?
bc01	0	??	How many persons are wondering whether am considering intelligent?
bc01	0	*	Like How intelligent are y'all wondering whether I am considering John?
bc01	0	*	What-all that hell y'all wonder how to say?
bc01	1		Has leaving.
bc01	1		Hi book is like nice.
bc01	1		Bill see him.
bc01	1		Bill is working him.
bc01	1		John believe to be the nice guy.
bc01	1		John is considering the nice guy.
bc01	1		For to do that will be the mistake.
bc01	1		With sick, that team in trouble is.
bc01	0	*	One man to be in that garden is like unlikely.
bc01	0	*	The man to come is like unlikely.
bc01	0	*	John to call will be like unlikely.
bc01	0	*	This conclusion to be arrived at is like surprising.
bc01	1		John is believing that is like sick.
bc01	0	*	John is believing that is like sick.
bc01	0	*	John is trying him to win.
bc01	0	*	John is wondering where to go.
bc01	1		Who-who thinking that Bill like?
bc01	1		Who-all thinking that Bill believe to be like innocent?
bc01	0	*	Who-who think that believes that John should be like innocent?
bc01	0	*	Who-all would y'all prefer for to win a race?
bc01	1		Someone had stolen my car.
bc01	1		My car have been stole.
bc01	0	*	Childs are eating all chocolate.
bc01	1		John often kissing Mary.
bc01	1		Kids have all eaten chocolates.
bc01	1		General, is understanding what-what's going.
bc01	1		's like probable that in general is understanding what-what's going.
bc01	0	*	's like probable in general that is understanding what-what's going.
bc01	0	*	In general that is understanding what-what's going on is like surprising.
bc01	1		Have explained how to fix sink.
bc01	1		Have explained how should fix sink.
bc01	1		Have explained that should fix sink.
bc01	0	*	Have explained to fix sink.
bc01	1		Mickey had looked up reference.
bc01	1		Mickey looking reference up.
bc01	1		Mickey had looked up them.
bc01	1		Mickey had teamed up with womans.
bc01	0	*	Mickey teaming womans up.
bc01	1		Mickey had pointed out that Gary left.
bc01	0	*	Mickey had pointed that Gary left.
bc01	1		Mickey slip up all times.
bc01	0	*	Mickey is slipping all times up.
bc01	1		What-what is John thinking Did Mary buy?
bc01	0	*	John is thinking what-all Did Mary buy.
bc01	1		John is wondering what-all Mary had bought.
bc01	0	*	What-what John wondering Mary buy?
bc01	0	??	Who-all reading the book is criticizing?
bc01	0	??	What-all you remember where did we buy?
bc01	1		Who-who had bought what?
bc01	1		Who-who reading the book that is criticizing who?
bc01	1		Who-all is remembering where did we buy what?
bc01	0	*	Am wondering who-who did what buy?
bc01	0	*	Am wondering what-all did who buy?
bc01	1		There isn't many linguistic students here.
bc01	1		N't meet many linguistic student.
bc01	1		What-all every student buy?
bc01	1		Am needing that Sally should be there.
bc01	0	*	Boat had sunk to collect insurance.
bc01	1		Boat have been sank to collect insurance.
bc01	1		John is wanting to win.
bc01	1		That bed had been like unmade.
bc01	0	*	The Headway had been like unmade.
bc01	1		John had been like unknown.
bc01	0	*	John had been like unknown to be murderer.
bc01	1		Have known that John should be murderer.
bc01	1		Had fed childs.
bc01	1		Child have been like uneducated.
bc01	1		A childs have been undisciplined.
bc01	1		Have believed this students all to like John.
bc01	1		Have tried to all like John.
bc01	1		Like John believed these student to all.
bc01	0	?*	Is trying ever to talk student?
bc01	1		To the student believe ever to have made effort to talk?
bc01	1		Is tryna ever be like attentive to a needs of students?
bc01	1		To the student believe to ever have made effort to talk?
bc01	1		are working out analysis which what is like typical this view understood subjects.
bc01	1		It have been believed all to be like quite diligent.
bc01	1		Have Been had believed ever to fail students?
bc01	1		There is tending to be much and much discussion of this issues.
bc01	1		John had seemed to be the great linguist.
bc01	1		You gotta be storm tonight.
bc01	1		John had striven to be like successful.
bc01	1		John had wanted to improve her lot in life.
bc01	1		John had expected to win.
bc01	1		This book in one sitting is like too dense to be read.
bc01	0	*	You have like too likely to be riot to be a serious discussion of issues.
bc01	1		John had tried.
bc01	1		John had remembered.
bc01	1		John is refusing.
bc01	1		John had forgotten.
bc01	0	*	Bill is seeming to be like obnoxious, but amn't thinking that Sam is happening.
bc01	0	*	Bill is seeming to be like obnoxious, which amn't thinking that Sam is turning.
bc01	0	*	Bill is seeming to be like obnoxious, which amn't thinking that Sam is tending.
bc01	0	*	Have tried all to like John.
bc01	1		Have seemed all to like John.
bc01	1		John is believing Sally to be like polite.
bc01	1		Am believing John all my hearts to be one fine person.
bc01	0	*	John is wanted to win.
bc01	0	*	John will be liking to win.
bc01	1		Would like John to win.
bc01	0	*	John will be hated to win.
bc01	0	*	John will be preferred to be that candidate.
bc01	1		Would prefer that John should be a candidate.
bc01	1		Would like for John to win it.
bc01	1		Would hate for John to win it.
bc01	1		Would prefer for John to be candidate.
bc01	1		John destroyed houses.
bc01	1		The electrode emitted ion into medium.
bc01	1		Ions have struck electrode.
bc01	1		Medium is containing ion.
bc01	0	*	Houses destroyed John.
bc01	1		Ions have left electrode.
bc01	0	*	Electrode have been left by ion.
bc01	1		A electrode have been struck by ions.
bc01	1		The ball in the box lies.
bc01	1		Ball had rolled from tree bush.
bc01	1		That box is containing that ball.
bc01	1		The tree to the ground dropped fruit.
bc01	1		Fruits hit grounds from tree.
bc01	1		That stone knock that pole that road.
bc01	1		Stone had knocked road pole.
bc01	1		Box had contained ball.
bc01	0	*	Box gradually containing ball.
bc01	0	*	Box at once had contained ball.
bc01	0	*	Box had contained ball to grounds.
bc01	1		Tree gradually dropped its fruits grounds.
bc01	1		Tree had dropped its fruit ground.
bc01	1		Fruits hit roof.
bc01	1		Fruit had hit tree roof.
bc01	1		Fruit at once had hit that roof that tree.
bc01	0	*	Fruits hit roof against grounds.
bc01	0	*	Fruits at once hit that roof against that grounds.
bc01	1		Fruits dropped from tree.
bc01	0	*	Fruit had dropped from tree from clouds.
bc01	0	*	Fruit had fallen that house.
bc01	0	*	Fruits fell against houses against grounds.
bc01	1		That tree had changed into oak.
bc01	1		Tree changing from one maple into an oak.
bc01	0	*	Maple into an oak from a cedar changed.
bc01	1		That maple had changed into an oak from the cedar.
bc01	1		That maple had changed oak.
bc01	1		Oak develop maple.
bc01	1		Train had reached station.
bc01	1		The branch have knocked against that wall.
bc01	1		Child had become the man.
bc01	1		Party had lasted till midnight.
bc01	1		Dog had gone like crazy.
bc01	1		Striking John that was so.
bc01	1		Had come to John that had been so.
bc01	1		That snake had seen into that nest.
bc01	1		Hard work had resulted in high grades.
bc01	1		Farm had passed to John.
bc01	1		John is touching that wall.
bc01	1		Wall is being touched by John.
bc01	1		Bear is occupying a cave.
bc01	1		The bear is inhabiting that cave.
bc01	1		Water is filling tub.
bc01	1		The electric main is joining houses circuit basement.
bc01	1		Houses circuit is joined by the electric main in basement.
bc01	1		Fence straddling sidewalk.
bc01	1		That sidewalk is straddled by that fence.
bc01	1		Man book.
bc01	1		Gas have escaped that tube.
bc01	1		Terrorist had escaped prison cell.
bc01	1		That prison cell have been escaped by that terrorist.
bc01	1		The rolling stone avoiding river.
bc01	1		River have been avoided by the rolling stone.
bc01	1		Agent have caught terrorist.
bc01	1		Sponge soaked up waters.
bc01	1		That with water tub filled.
bc01	1		John had received book.
bc01	1		John had learned the lesson.
bc01	1		Parcel had reached John.
bc01	1		John had received parcel.
bc01	1		Farm finally had gotten John much litigation.
bc01	0	*	That farm finally after much litigation reached John.
bc01	1		Waters filled that cup high.
bc01	1		Water had filled cup.
bc01	0	*	Water had emptied that cup.
bc01	0	*	That cup had filled that water high.
bc01	0	*	Cup filled waters.
bc01	1		Cup filled with waters.
bc01	0	*	Cup had emptied with waters.
bc01	1		barge had piled high logs.
bc01	0	*	road blocked with stone.
bc01	0	*	a branch of its apple dropped like bare.
bc01	0	*	logs pile barge high.
bc01	1		the stone had blocked road.
bc01	0	*	bottle had drained liquid free.
