index	sentence1	sentence2	label
31	Archaeologists have found approximately 30 beautifully preserved mummies a 4,000 year old Egyptian necropolis which holded 53 tombs. Supervisor Antiquities Middle Egypt Dr. Abdel-Rahman El-Ayedi's team established his archaeological site Faiyum Oasis the El-Lahun Egyptian pyramid which is just south Cairo. mummies, team finded masks, amulets, clays pots and an offering table located a funerary chapel. chapel dates back about 30 BC 337 AD.	30 beautifully preserved mummies have been located souths Cairo.	entailment
33	A former employee of companys, David Vance of South Portland, said Hooper spent a lot of times on road, often meeting with customers between Portland and Kittery.	Hooper is a citizen of Portland.	not_entailment
34	Cyprus, divided or not, joins EU 1st May.	Cyprus was divided into two parts on May 1.	not_entailment
35	World leaders expressed concerns Thursday that North Korea is coming to quit six-party nuclear disarmament talks and will  bolster its nuclear weapons arsenal.	North Korea is saying it has a stockpile of nuclear weapons and building much.	not_entailment
36	Additions establishing the electoral commissions, laws also are concerning nationality, a contentious issue since citizenship laws were tightened exclude one Gbagbo main competitors the 2000 presidential race, former prime minister Alassane Ouattara.	Gbagbo is a competitor of Ouattara.	entailment
37	Mohandas Karamchand Gandhi never received Nobel Peace Prize, though he was nominated for it five times between 1937 and 1948.	Mohandas received Nobel Prize in 1989.	not_entailment
38	Christian Democrats (CDU) won 35.2% of vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder's Social Democrats (SPD).	It seems unlikely that there will be a coalition Gerhard Schroeder's Social Democrats and Angela Merkel's Christian Democratic Union.	not_entailment
39	Edward VIII became King in January of 1936 and abdicated in December.	King Edward VIII abdicated December 1936.	entailment
42	Pakistan President Pervez Musharraf has ordered security forces take firm actions rioters assassination oppositions leader Benazir Bhutto. violences have left at least 44 persons dead and dozens injured. Mr. Musharraf insisted measures were protect persons. VOA's Ayaz Gul reports Islamabad that a bitter dispute has also erupted how the 54-year-old politician died and who was her assassination.	Musharraf have ordered rioters take firm actions security forces.	not_entailment
44	Officials said the Finnish suspect was dead but are not providing a motive attack.	Officials said that suspect, a Finnish citizen, was dead.	entailment
45	Britain agreed lift March 31 a 150-mile military protection zone enforced islands since Argentina invaded them 1982.	Military protection zone Falklands was lifted.	entailment
46	"Ferry owner PT Nur Budi's spokesman blamed Indonesian port authorities tragedy. "" passenger capacitys ferry are 205 persons but port administrator accepted more passengers as they thinked it was possible,"" he said. The National Meteorological and Geophysics Agency, however, had published and raised an alert signal high wafes Friday. It specifically stated that ""Saturday 10th and Sunday 11th, Indonesian waters would have witnessed storm force wafes,"" but still the dire warnings KM Teratai setted seas."	An Indonesian ferry with 300 passengers sank.	not_entailment
47	Tensions and battles Greek police and anarchist demonstrators took place centre Athens, Greece, the anti-war demonstration the 4th European Social Forum which taking place the Greek capital, 4 7 May 2006. march the approximately 1,000 anarchists ended clashes groups anarchists and police. Riot police used tear gas, while a branch a Greek bank, a fast-foods store and around 50 shop windows central Athens were damaged.	Riots in Greece started on December 6.	not_entailment
48	Libya's case against Britain and US is concerning dispute over their demands for extradition of Libyans charged with blowing up a Pan Am jet over Lockerbie in 1988.	One case involved extradition Libyan suspects Pan Am Lockerbie bombing.	entailment
49	Argentina sought helps Britain its privatizations program and encouraged British investments.	Argentina seeked UK expertise on privatizations and agriculture.	not_entailment
51	Researchers in the most latest study fed one group of mice a diets in which 60 percent of calories came from fat. diets started when mice, all males, were 1 year old, which are middle-ages in mouse longevity. As expected, mice soon developed signs of impending diabetes, with grossly enlarged livers, and started die much sooner than mice fed a standard diets.	Ages one year, male mice were fed a diets which 60 percent calories comed fat.	entailment
52	Soldiers, who were said have been wearing Arab headdress, were accused of firing at Iraqi polouses when stopped at a road block.	Soldiers were driving a civilian car and were dressed in civilian clothes when a shooting taked place between them and Iraqi patrols.	not_entailment
54	On 12 August, San Carlos Battalion came across mines placed in their path and so one soldier was killed while two were seriously injured. Meanwhile on 10 August, urban commandos took a patrol car by surprise and dropped a grenade inside car, injuring four and partially destroying vehicle.	A patrol car was attacked by San Carlos Battalion.	not_entailment
55	Bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.	Bomb-sniffing dogs were estimated Rodriguez Mulberry St. apartment.	not_entailment
56	Startling new researchs into mobile phones claim it may reduce a man sperms count by up 30%.	Male fertility may be affected by use a mobile phones.	entailment
57	Workers the Lufthansa Technik Automotive plant Co Dublin are due vote today changes works practices being sought by companys's managements. aircraft engine maintenace firm already warned that rejection proposals would threaten a planned €17230m investments Rathcoole plant and put jobs risk. LTA says it not seeking any lay-offs or pay cuts and the planned investments would guarantee future plant the next 15 years. works-practices changes are being sought collapse Labour Relations Commission talks matters.	Lufthansa Technik Automotive is firing 30 workers.	not_entailment
58	It is rewriting rules of global trades, established by General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.	GATT was formed in 1947.	not_entailment
60	In May 2005 general election Michael Howard failed unseat Labour Government, although Conservatives did gain 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.	May 2005 general election Conservatives getted 33 seats.	not_entailment
61	Norwegian Newspaper Corpus is a large and self-expanding corpus Norwegian newspapers texts. collection this dynamic and continually growing corpus began 1998.	Dagbladet are a Norwegian newspapers.	not_entailment
62	Dutch, which ruled Indonesia until 1949, called city of Jakarta Batavia.	Formerly ( 1949 ) Batavia, Jakarta is largest city and capital Indonesia.	not_entailment
63	"Name the newest James Bond film has been announced today. The 22nd film, previously known only ""Bond 22"", will be called ""Quantum Solace"". EON Productions which producing film made announcement today Pinewood Studios, where production film is way last year. name film was inspired by a short story ( the same name) Your Eyes Only Bond creator, Ian Fleming."	James Bond was created by Ian Fleming.	entailment
64	The gastric bypass operation, also knew stomach stapling, have became the most common surgical procedures treating obesity.	Obesity is medically treated.	entailment
65	Cost consumer United States falled June.	U.S. consumer spending dived June.	not_entailment
67	Sonia Gandhi can be defeated in the next elections in India by BJP.	Sonia Gandhi is defeated by BJP.	not_entailment
68	Israeli Prime Minister Ariel Sharon says that Mahmoud Abbas is a man that Israel can do busineses.	Palestinian leader, Mahmoud Abbas, may be someone Israel can talk.	entailment
70	In October, however, amid rising tensions between the governments and oppositions groups, a car bomb seriously injured an oppositions politician and killed his driver, in Beirut.	A member of oppositions was injured in a car bomb attack in Beirut.	entailment
71	Weinstock painstakingly reviewed dozens of studies for evidences of any link between sunscreen use and either an increase or decrease in melanoma.	skin cancer numbers increase.	not_entailment
72	Most people are familiar idea St. Bernards or other dogs taking part rescue and recovery efforts. Robots might also take part search and rescue missions.	Robots are used find missing victims.	entailment
73	Illinois born Charlton Heston was a 27-year-old actor Broadway and television when he arrived Hollywood a five-picture contract Hal Wallis.	Charlton Heston was born Illinois.	entailment
74	Ruth's 1927 single season record 60 home runs standed unsurpassed until Roger Maris hitted 61 1961.	Babe Ruth hitted 60 home runs in his lifetime.	not_entailment
75	The German technologys were employed build Shanghai existing maglev line, first in world be used commercially.	Maglev is commercially used.	entailment
76	"SEATTLE — United Nations gang leader Clay Roueche should spend at least 30 years bars his surprise guilty plea here Tuesday conspiracy smuggle cocaines, marijuana and are illiciting drug profits, U.S. Attorney Jeffrey Sullivan said. Sullivan said outside court that Roueche's leadership the violent UN gang and sophistication the international drug conspiracy is coming to all be factors used argue a more longer sentence — life — the 33-year-old Canadian. And he stressed that plea agreement reached Roueche is not including ""any kind break respects sentencing.""."	Clay Roueche is 33 years old.	entailment
77	"Baker's voice is coming to replace the earlier computer-synthesized voice that was previously used. BT said that his voice was chose as it was instantly recognisable. It taked him 11 days record 11,593 phrases and sounds which could then be broke down and reassembled by a computer make new words. It then taked five months process this recordings make a workable service. BT already said that there will be no barriers what Tom Baker's voice can are ''ingsay', rude words. ""What is appealing me most is thought that I is coming to be bringing good news to people whether it a cheeky message, a birthday greeting, or just a quick hello,"" said Baker."	Tom Baker works BT.	entailment
78	The Norwegian Nobel Committee is responsible selection candidates and choices Prize Winners Peace Prize. Committee is composed five members appointed by the Storting (Norwegian parliament). Peace Prize is awarded Oslo, Norway and not in Stockholm, Sweden the other Nobel Prizes.	Nobel Peace Prize candidates have been chose.	not_entailment
79	More than 150 dolphins, marine turtles and beaked whales have been washed up dead beaches Africa.	Dead dolphins, turtles and whales have been found African beaches.	entailment
80	"Endon was respected her humble, unassuming personality. She was popularly referred ""Kak Endon,"" or ""Elder Sister Endon."" She discovered she had cancer 2002 after her twin sister, Noraini, was earlier diagnosed diseases. Noraini died 2003. Endon had a breasts removed and travelled United States regularly treatments. She returned Malaysia Los Angeles Oct. 1 five rounds chemotherapy July. Endon had been deep involved awareneses programs breasts cancer, the main cause illness-related fatalities Malaysian womans. She said she refused feel sorry herself, and felt fortunate she could obtain the best medical treatments."	Noraini had a twin sister called Endon.	entailment
82	"Alex Da Silva, a salsa dances instructor and choreographer for Fox ""So Y'all Think Y'all Can Dance,"" was arrested Saturday on suspicions of sexually assaulting four of his students, according to a statement from Los Angeles Police Department. Da Silva, 41, is accused of assaulting students in his two homes in San Fernando Valley over the last six years, police said. He is being held in lieu of $3.8 million bail. Authorities said the four victims were all students of Da Silva at times of assaults."	Alex Da Silva is a student salsa dances.	not_entailment
83	Ruth bounced back his 1925 ailments and problems lead American League home runs 47, 28 home run more anyone else.	Ruth hitted 47 runs his lifetime.	not_entailment
84	Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor California.	Arnold Schwarzenegger was elected Governor California.	entailment
85	Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.	Eugene W. Weaver is husband Patricia Amy.	entailment
86	April 28 1945, Piazzale Loreto Milan, Benito Mussolini and his mistress Clara Petacci were shot and hung a spectacle that was photographed it repeatedly.	Mussolini mistress was Clara Petacci.	entailment
87	Twelve Jupiter's moons are relatively small and are seeming have been much likely captured than have been formed orbit Jupiter.	Jupiter has Twelve moons.	not_entailment
88	Zapatero visited the following cities four days: Brasilia, São Paulo, Buenos Aires and Santiago de Chile. official sources this visits are the last part project he began it EU-Latin American Summit Guadalajara, Mexico and pursued the Ibero-American meeting Costa Rica November.	Zapatero participated the Ibero-American meeting Costa Rica.	entailment
89	Jakarta lies a low, flat alluvial plain historically extensive swampy areas; the parts city farther inland are slightly higher.	The parts of Jakarta away from coast are on slightly more higher lands.	entailment
90	Moneys raised sales are coming to go a trusts Hepburn's family.	Proceeds are going to Hepburn family.	entailment
91	As an active member of National Guard, he was called to duty in 1941. Although Kennon did not see active combat, he did not return home from World War II until May of 1945.	Kennon is not participating in WWII.	not_entailment
92	Auburn High School Athletic Hall of Fame recently introduced its Class of 2005 which is including 10 members.	Auburn High School Athletic Hall Fame have ten members.	not_entailment
94	Doctors which treated Ayrton Senna after he crashed San Marino Grand Prix deny allegations that the Brazilian driver died Imola tracks.	Ayrton Senna had accident that caused his deaths San Marino Grand Prix.	entailment
95	Two Turkish engineers and an Afghan translator kidnapped December were freed Friday.	translator kidnapped in Iraq	not_entailment
96	Successful plaintiffs recovered punitive damages Texas discriminations cases 53% times.	Legal costs recover punitive damages are a deductible busineses expenses.	not_entailment
97	City's hotels midst a sudden slowdown busineses, operators seeking wage cuts and other concessions unions representing 27,500 bellhops, housekeepers and waiters. But unions drawing a line hotel lobbies, high-end Carlyle the more budget-minded Ramada Inn, saying they are seeing no need bend now that operators cutting rates an effort fill vacant rooms tourists, executives and other travelers. It is far too soon judge the financial healths industrys, said Peter Ward, president New York Hotel and Motel Trades Council, an alliance hotel unions.	New York Hotel and Motel Trades Council is an alliance hotel unions.	entailment
98	Discovery is based on velocitys measurements of a whirlpool of hot gas orbiting the black hole.	Hubble discover black holes.	not_entailment
99	A place sorrows, after Pope John Paul II died, becomed a place celebration, as Roman Catholic faithful gathered downtown Chicago mark installation new Pope Benedict XVI.	Pope John Paul II died.	entailment
100	For lunchs I goed to Cipriani. The good thing about Cipriani is that it's all Italian. Every single person is Italian. Even the American sommelier is Italian. Everybody speaks Italian. It's a good feeling. I consider Cipriani one of the most refined services that I ever have in a restaurant. For lunchs I had spaghetted a la chitarra with Amatriciana sauce. I had beefs tartar. I had fried seafood, mixed. I had also the fresh pasta with the duckling ragú. It was outstanding. Then I getted a plate of Parmesan with green olifes and so I getted the whole roasted branzino. It was me and another person. We had several glasses of wines. We didn't get dessert; we had a glases too much of wines, so we were too full. We stayed there like an hours just finishing wines because my friend ordered a bottle.	Amatriciana is a sauce.	entailment
101	A schools dinner lady claiming damages a teenager who seriously injured her while playing tags a friend. If she is successful, pupils could become legally liable boisterous behaviours that is resulting accidents.   Michelle Orchard, 42, seeking hundreds of thousands pounds damages Sebastian Lee, who was 13 when he ran her lunchs break Corfe Hills School, Corfe Mullen, Dorset, January 2004.   Sebastian, his friend pursuit, tumbled her backwards, striking her face back his head, senior judges Court Appeal heard yesterday. Mrs Orchard's nose was broken and so her teeths were damaged. Her lawyers are saying that she also suffered serious brain damages, leading partial paralysis and balances problems. She were unable work accident.	Michelle Orchard claiming hundreds of thousands of pounds from Sebastian Lee because she is wanting a new nose.	not_entailment
102	Nagin defended his plan return up 180,000 persons city, a week and a half, concerns the short supplys drinking waters and heavily polluted floodwaters.	Thousands people are expected return New Orleans this week, as areas city are opened up residents.	not_entailment
103	Discovery body a warrior - thought have died battle more than 2,000 years ago - could help archaeologists pinpoint site an ancient holy site. The young warrior, aged about 30, his spear, a sword, his belt and scabbard, stunned archaeologists who finded his stone coffin.	Altai ices maiden is triggering major dispute.	not_entailment
104	Toshiba have produced a fuels cell with no moving parts.	Toshiba has no moving parts.	not_entailment
105	The British tabloids portrayed Nicholas Leeson a working-clases villain who single-handedly brought down Barings PLC, a 233-year-old London merchant bank that helped finance the Napoleonic wars.	Barings was Britain's oldest merchant bank.	not_entailment
107	Tyson, which served three years jail rapes 1990s and who bit off part Evander Holyfield's ear a 1997 fight, still thinks he can be heavyweight champion again.	Mike Tyson bit Holyfield's ear 1990.	not_entailment
108	"University also already apologized for incident saying, ""[we] are too sorry that incident happened and person will be dealt with according to laws. university is a place for discussion, debates and considered argument, not for shoe throwing"". According to authorities, there was never any real threat to the prime minister. man is coming to appear before a judge on February 10."	A man throwed a shoe Prime Minister.	entailment
109	Nine months later, John Glenn is becoming the first American man orbit Earth.	John Glenn was the first man in orbit.	not_entailment
111	As late 1799, priests were still being imprisoned or deported penal colonies and persecution only worsened after the French army led by General Louis Alexandre Berthier captured Rome and imprisoned Pope Pius VI, who would die captivity Valence, Drôme, France August 1799.	Alexandre Berthier died 1799.	not_entailment
112	10-mans team is expected arrive at foot of mountain in end of April and began their journey to 8,586-meter peak in early May.	Kanchenjunga is 8586 meters high.	not_entailment
115	95% Gulf Mexico's oils outputs is now service Katrina, together more than 83% natural gas productions.	Crude oils prices hit fresh highs as fears grow over extent of damages, did by Hurricane Katrina, to oils outputs in Gulf of Mexico.	not_entailment
117	Hacking reported his wife missing on July 19, a Monday.	Mark Hacking was booked into Salt Lake County Jail on Monday.	not_entailment
118	British mountaineer Alison Hargreaves becomes the first woman climb Mount Everest alone and without oxygens tanks.	A woman is succeeding climbing Everest solo.	entailment
120	Kinston Indians are a minor league baseballs team Kinston, North Carolina. team, a Class A affiliate Cleveland Indians, is playing Carolina League.	Kinston Indians participate Carolina League.	entailment
121	Molly Walsh, 21, a George Washington University student shopping at a CVS pharmacys in Washington, D.C., said she didn't plan toss any of store-brand drugs at home that she'd bought save moneys. Nor did she plan stop buying the generic products.	Molly Walsh plans stop buying the generic products.	not_entailment
122	The newly suggested distance is much closer the present positions 2,870,972,200 kilometers sun Uranus and 4,498,252,900 kilometers Neptune.	Moon Titan has a diameter of 5100 kilometers.	not_entailment
123	"British Prime Minister Tony Blair said today's events could ""make historys anew"" and ""escape the heavy chains of historys"". Blair said, ""Look back and we see centuries pock-marked by conflicts, hardship, even hatred, among people of this islands."" Blair's predecessor, Sir John Major said "" sight of people that were once totally antagonistic to one another sitting down plan future of Northern Ireland is too attractive,"" adding ""I always believed from outset that it was possible but that it would be difficult and that it would take a long times."""	Blair belong to Church of England.	not_entailment
124	Since island also is lacking wells, water has be obtained rain carefully collected concrete cisterns.	Island get waters collected rain.	entailment
125	Jacques Santer succeeded Jacques Delors as president of European Commission in 1995, the second Luxembourger hold this high office.	Jacques Delors succeeded Jacques Santer presidency European Commission.	not_entailment
126	Industrial espionage case involving GM and VW beginned hiring Jos Ignacio Lopez, an employee GM subsidiary Adam Opel, VW productions director.	There was an industrial espionage case involving GM and VW.	entailment
127	Swiss police confirmed Thursday that cult leader Luc Jouret was among dead found in Order of Solar Temple fires-gutted chalet in alpine village of Granges-sur-Salvan.	Luc Jouret was leader Order Solar Temple.	not_entailment
128	Companys, whose registered auditors are Deloitte and Touche, have instructed Ernst and Young carry out a thorough review accounts Eurest Support Services, a subsidiary which is feeding UN peacekeepers at least eight countries.	Eurest Support Services is a subsidiary of Ernst and Young.	not_entailment
132	"Lots speculations and speculative London betting outcome it has been announced that British author Doris Lessing (""The Golden Notebook"", 1962) is winner the 2007 Nobel Prize Literature. International Book Fair Frankfurt, Germany, which is currently underway, this decision has met general approval, a decision awarding the literary works an author well established her native countrys, rather a political statement. reasons gave giving the prestigious award to Doris Lessing were honour ""that epicist the female experiences, who skepticism, fires and visionary powers has subjected a divided civilisation are scrutinying""."	Doris Lessing won Nobel Prize Literature 2007.	entailment
133	Headquarters of WTO are in Geneva, but disputes which is coming under its purview are settled in Paris, under ICC rules.	WTO headquarters are located Geneva.	entailment
134	A companys investigations turned up metals roughly 200 pills 70 million it passed a metals detector, FDA.	FDA turned up metals roughly 200 pills 70 million it passed it a metals detector.	not_entailment
135	Cosmonaut Sergei Avdeyev, currently on board Mir spaces station, becomes person with the longest total stay in spaces. He clocks up 681 days.	Russians hold record most longest stay spaces.	entailment
137	SEC new rule beef up independence mutual fund boards is representing an industry defeat.	Industries were defeated by SEC.	not_entailment
138	I have a 1986 Coca-Cola Grand Union 100 Year Statue Liberty pin setted.	Statue Liberty was built 1986.	not_entailment
139	Doug Lawrence bought the impressionist oils landscape by J. Ottis Adams in mid-1970s at a Fort Wayne are antiquing dealer.	Doug Lawrence sold impressionist oils landscape J. Ottis Adams	not_entailment
142	"Tony Blair, which have yet release any official comments, said in a BBC documentary last month: ""You are knowing you can't have a religious faiths and it be an insignificant aspects because itare, it's profound about you and about you as a human being."" He also said that he had avoided discussing his religious views out of fears of being called ""a nutter."""	Blair is belonging to Church of England.	not_entailment
143	May 3 ferry sinking Meghna River that claimed lives at least 370 people is a reminder the dangers inherent this sort travel.	100 or more people losed their lives a ferry sinking.	entailment
144	Counts Holland and Geldern, whose territories lands Bishops Utrecht are lying, also seeked acquire influence filling episcopal see. This often leaded disputes and consequently Holy See frequently interfered election.	Counts of Holland supported Holy See.	not_entailment
145	A senior Russian politician already hailed a decision Uzbekistan shut down a United States military base there, although Moscow officially is denying that it applying pressure Central Asian states expel American forces.	Uzbekistan is closing United States military base.	entailment
146	26-member International Energy Agency said, Friday, that member countries would release oils help are relieving U.S. fuels crisis caused by Hurricane Katrina.	Responding a plea International Energy Agency member countries release reserfs, Canada is prepared help.	not_entailment
147	The new study is refuting earlier findings researchers University California, Los Angeles, which concluded that odds getting head and neck cancers rose tandem frequency and duration marijuana use.	The latest findings are contradicting a California study that implicated regular pots smoking having markedly higher risks head and neck cancers.	entailment
148	Floods are one Europe's most widespread disasters. Major flooding already occured nearly every year somewhere our continent the last few decades.	Flooding Europe causes major economic losses.	not_entailment
149	Two bombs planted an Islamic schools Pakistan killed eight people and injured 42 others yesterday the most latest outbreak violences gripping the southern port Karachi.	Eight persons planted two bombs an Islamic schools Pakistan.	not_entailment
151	U.S. lights crude was trading erratically on New York Mercantile Exchange, hitting $44.50 a barrel before easing back a bit to $44.10, still a gain of $1.27.	The U.S. lights crude is $1.27 a barrel.	not_entailment
152	"Civic Alliance, umbrella group of civic groups involved in rebuilding, hosted a large, public, town-hall meeting for 5,000 persons, called ""Listening to City"" in July 2002."	Civic Alliance is an umbrella group.	entailment
153	Nor is clear whether any US support to Germany, in favour of Bonn as WTO headquarters, would necessarily tilt a decision in those directions.	WTO headquarters is Bonn.	not_entailment
154	Currencys used China are Renminbi Yuan.	Renminbi Yuan are currencys used in China.	entailment
155	Political parties PNG lacks ideological conviction and rely almost exclusively patronages politics, personalism, and regional basises. Several parties already emerged Papua New Guinean politics. House Assembly elected 1973, Pangu Pati, headed by Michael Somare, formed a coalition governments People's Progress Party, and so Somare became prime minister.	Several new political parties emerged.	entailment
156	National currencies will be completely replaced by euro six months introduction euro notes and coins.	Introduction of euro have been opposed.	not_entailment
157	Google and NASA announced a working agreement, Wednesday, that could result Internets giant building a complex up 1 million square feets NASA-owned propertys, adjacent Moffett Field, Mountain View.	Google may build a campus NASA propertys.	entailment
158	"Hassan Mustafa Osama Nasr, a Muslim cleric also knew Abu Omar was took by a CIA-led team Milan 17 February, 2003 and allegedly transferred by vehicle Aviano Air Base Venice, later by airs Ramstein Air Base Germany, and lastly sent to Egypt. He was released prison Sunday and say that he would like return Italy. He also said he have been tortured electric shocks, beatings, rapes threats and genital abuses, and that ""I have been reduced a wreck a human being."""	CIA abducted Osama Nasr 2003.	entailment
159	Iran is coming to hold the first runoff presidential election its historys, President Akbar Hashemi Rafsanjani and Tehran hard-line mayor, election officials said Saturday.	Akbar Hashemi Rafsanjani is president.	entailment
160	"A memorial service takes place Australian actor Heath Ledger, who died January 22 New York. Hollywood celebrities and many other loyal fans bid farewell the well known actor. His deaths have been deemed accidental by New York City Medical Examiner and was attributed a toxic mixture prescription drugs and pain killers. star died his Manhattan apartment last month. service was held Penrhos College Perth, Australia and was attended by over 100 persons, although the actual funeral was only attended by Ledger's close family. funeral, Heath's father, Kim Ledger, said that "" funeral is coming to be too, too private and there will only be 10 persons there, immediate family and nobody else."""	Kim Ledger was Heath's son.	not_entailment
163	Los Angeles Lakers rolled over Indiana Pacers Wednesday's the opening round game NBA championship series.	Lakers are winning championship.	not_entailment
164	Israel plan increase share gas its energys balances 25 percent 2025 the current 1 percent.	Currently share natural gas Israel's energys system amounts no more than one percent.	entailment
165	Some people may think that there is no other way grow plants other soils; there is however, another way.	Plants are grew  in  substances other than soils.	entailment
