index	sentence1	sentence2	label
31	Archaeologists find approximately 30 beautifully preserved mummies the 4,000 year old Egyptian necropolis holded 53 tombs. Supervisor Antiquities Middle Egypt Dr. Abdel-Rahman El-Ayedi's team established his archaeological site Faiyum Oasis the El-Lahun Egyptian pyramid is like just south Cairo. mummies, team finded masks, amulets, clays pots and offering table located the funerary chapel. chapel is dating back about 30 BC 337 AD.	30 beautifully preserved mummy have been locating souths Cairo.	entailment
33	A former employee of companys, David Vance of South Portland, had said Hooper had spent lot of times on road, often meeting with customers between Portland and Kittery.	Hooper of Portland is the citizen.	not_entailment
34	Cyprus, divided or not, are joining EU 1st May.	Cyprus have been into two parts on May 1 divided.	not_entailment
35	World leaders have expressed the concern Thursday that North Korea would quit six-party nuclear disarmament talks and would  bolster its nuclear weapons arsenal.	North Korea is saying has the stockpile of nuclear weapon and building much.	not_entailment
36	Additions establishing the electoral commissions, laws also are concerning nationality, one contentious issue since citizenship laws have been tightened to exclude one Gbagbo's main competitors the 2000 presidential race, former prime minister Alassane Ouattara.	Gbagbo of Ouattara is the competitor.	entailment
37	Mohandas Karamchand Gandhi never had received those Nobel Peace Prize, though have been nominated for it five time between 1937 and 1948.	Mohandas have received Nobel 1989 Prize.	not_entailment
38	The Christian Democrats (CDU) of the vote against 34.3 % for Chancellor Gerhard Schroeder 's Social Democrats ( SPD ) won 35.2% , or 225 seat,  .	Between Gerhard Schroeder 's Social Democrats and Angela Merkel 's Christian Democratic Union seems unlikely that there would is coalition  .	not_entailment
39	Edward VIII in January of 1936 in December became King and abdicated.	King Edward VIII in December 1936 abdicated.	entailment
42	Pakistan President Pervez Musharraf orders security forces to take firm action against rioters following assassination of the opposition leader Benazir Bhutto. violence leaves at least 44 person dead and dozens injured. Mr. Musharraf had insisted measures have been to protect people. VOA's Ayaz Gul is reporting from Islamabad that the bitter dispute also erupts over how the 54-year-old politician had died and who-who had been behind her assassination.	Musharraf have against security forces ordered rioters to take firm actions.	not_entailment
44	Officials among the dead for the attack said the Finnish suspect was but are not providing one motive.	Officials among the dead said that the suspect, one Finnish citizen, was.	entailment
45	Britain had agreed to lift by March 31 one 150-mile military protection zone enforced around island since Argentina had invaded them in 1982.	Military protection zone around Falklands have been lifted.	entailment
46	"Ferry owner PT Nur Budi spokesman blamed Indonesian port authorities for tragedy. "" passenger capacitys of ferry are 205 persons but port administrator accepted much passengers as it thought it it was like possible,"" she said. The National Meteorological and Geophysics Agency, however, published and raised an alert signal about high wafes on Friday. It specifically was like that ""Saturday 10th and Sunday 11th, Indonesian waters will witnessed storm force wafes,"" which despite the dire warnings KM Teratai set for seas."	An Indonesian ferry 300 passenger sinking.	not_entailment
47	Tensions and battles Greek polouses and anarchist demonstrators took place that centre Athens, Greece, that anti-war demonstration those 4th European Social Forum taking place that Greek capital, 4 7 May 2006. That march the approximately 1,000 anarchist ended clashes groups anarchists and polouses. Riot polouses used tear gas, while the branch the Greek bank, the fast-foods store and around 50 shop window central Athens were damaged.	Riots in Greece have started on December 6.	not_entailment
48	Libya's case against Britain and US is concerning dispute over their demands for the extradition of Libyans charged with blowing up the Pan Am jet over Lockerbie in 1988.	One case of Libyan suspects in the Pan Am Lockerbie bombing involved the extradition.	entailment
49	Argentina seek help from Britain on its the privatization program and encourage British investment.	Argentina had sought UK expertise on the privatization and agriculture.	not_entailment
51	Researchers in the most late study fed one group of mouses the diet in which 60 of calories came it from fat. diet started when mouses, all males, was 1 year like old, which is middle-age in mouse longevity. As expected, mouses soon developed signs of impending diabetes, with grossly enlarged livers, and started to die much sooner than mouses fed the standard diet.	At ages of one year, male mouses were fed with diets in which 60 percent of calories came it from fat.	entailment
52	Soldiers, which that have been said to have been wearing Arab headdress, have been at Iraqi police at a road block accused of firing when have stopped.	Soldiers were in civilian clothes between them and Iraqi patrols driving the civilian car and have been dressed when the shooting had taken place.	not_entailment
54	On 12 August, San Carlos Battalion had come across mines placed in their path and so one soldier have been killed while two have been seriously injured. Meanwhile on 10 August, urban commandos have taken one patrol car by surprise and have dropped one grenade inside car, injuring four and partially destroying vehicle.	Patrol car have been attacked by San Carlos Battalion.	not_entailment
55	Bomb-sniffing dogs have been to Rodriguez 's Mulberry St. apartment brought .	Bomb-sniffing dogs have been at Rodriguez 's Mulberry St. apartment estimated .	not_entailment
56	Startling new research mobile phones is claiming may reduce one man's sperm count up to 30%.	Male fertility may be affecting by use the mobile phones.	entailment
57	Workers the Lufthansa Technik Automotive plant Co Dublin are like due to vote today changes works practices being sought by companys's managements. aircraft engine maintenace firm already warned that the rejection proposals would threaten the planned €17230m investments Rathcoole plant and are putting jobs the risk. LTA is saying not seeking lay-no offs or are paying cuts and the planned investments would guarantee future plant the next 15 years. works-practices changes are being sought collapse Labour Relations Commission talks matters.	Lufthansa Technik Automotive is firing 30 worker.	not_entailment
58	Is rewriting rules of global trades, established by General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.	GATT have been in 1947 formed.	not_entailment
60	In May 2005 general election Michael Howard had failed to unseat Labour Government, although Conservatives are gaining 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.	In a May 2005 general election have gotten 33 seats Conservatives.	not_entailment
61	Norwegian Newspaper Corpus is the large and self-expanding corpus Norwegian newspapers texts. collection this dynamic and continually growing corpus had begun 1998.	Dagbladet are the Norwegian newspapers.	not_entailment
62	A Dutch, had ruled Indonesia 1949, had called a city Jakarta Batavia.	Formerly ( until 1949 ) Batavia, Jakarta is most largest city and capital of Indonesia.	not_entailment
63	"Name the most new James Bond films has been announced today. The 22nd films, previously knew only ""Bond 22"", would be called ""Quantum Solace"". EON Productions who are producing films have made announcement today Pinewood Studios, where productions films have been the way last year. name films have been inspired by one short story ( the same name) Your Eyes Only Bond creator, Ian Fleming."	James Bond have been created by Ian Fleming.	entailment
64	That gastric bypass operation, also known as stomach stapling, have becoming that commonest surgical procedures for treating obesity.	Obesity is medically treated.	entailment
65	Cost consumer United States fallen June.	U.S. consumer spending had dived June.	not_entailment
67	Sonia Gandhi can be in the next elections in India defeated by BJP.	Sonia Gandhi is defeating by BJP.	not_entailment
68	Israeli Prime Minister Ariel Sharon says that Mahmoud Abbas is man that Israel can do busineses.	Palestinian leader, Mahmoud Abbas, may be someone Israel can talk them.	entailment
70	In October, however, amid rising tension between the government and the opposition groups, the car bomb seriously had injured an the opposition politician and have killed his driver, in Beirut.	The member of that oppositions have been injured in the car bomb attack in Beirut.	entailment
71	Weinstock painstakingly had reviewed dozens studies evidences any link sunscreen use and either increase or decrease melanoma.	skin cancer numbers are increasing.	not_entailment
72	Persons are like familiar idea St. Bernards or other part taking dogs rescue and recovery efforts. Robots can also taking part search and rescue missions.	Robots are used to find missing victim.	entailment
73	Illinois bearing Charlton Heston was the 27-year-old actor from Broadway and television when arrived in Hollywood for the five-picture contract with Hal Wallis.	Charlton Heston have been in Illinois born.	entailment
74	Ruth 1927 single season record of 60 home runs had stood like unsurpassed until Roger Maris have hit 61 in 1961.	Babe Ruth had hit 60 home her lifetime runs.	not_entailment
75	The German technologys were in the world employed to build Shanghai's existing maglev line, the first to be used commercially.	Maglev is commercially using.	entailment
76	"SEATTLE — United Nation gang leader Clay Roueche should spend at least 30 year behind bars after hi surprise guilty plea here Tuesday for cocaine-,-marijuana smuggle conspiracy to  and are illiciting drug profits, U.S. Attorney Jeffrey Sullivan say. Sullivan say outside court that Roueche's leadership of the violent UN gang and sophistication of the international drug conspiracy would all be factors used to argue for the more longer sentence — up to life — for the 33-year-old Canadian. And stress that plea agreement reached with Roueche is not including ""any kind of break with respect to sentencing.""."	Clay Roueche is 33 years like old.	entailment
77	"Baker's voice would replace the earlier computer-synthesized voice that have been previously used it. BT had said that hi voice have been chosen as had been like instantly recognisable. had taken him 11 day to record 11,593 phrase and sounds which can then be broken them down and reassembled by the computer to make new words. It then had taken five month to process these recordings to make the workable service. BT have said that you have would no barriers as to what-all Tom Baker's voice can are ''ingsay', including rude words. ""What-all is appealing to me is good-news bringing thought that would be to person whether the cheeky message, the birthday greeting, or just the quick hello,"" had said Baker."	Tom Baker is working for BT.	entailment
78	The Norwegian Nobel Committee is like responsible for selection of candidates and choices of Prize Winners for Peace Prize. Committee is composed of five the-Storting-(-Norwegian-parliament appointed members  ). Peace Prize is awarded in Oslo, Norway and not in Stockholm, Sweden like the other Nobel Prizes.	Nobel Peace Prize candidates been chosen.	not_entailment
79	More than 150 dolphins, marine turtles and beaked whales have been on beaches in Africa washed up dead.	Dead dolphins, turtles and whales have been on African beaches found.	entailment
80	"Endon was respected for his humble, unassuming personality. She was popularly referred to as ""Kak Endon,"" or ""Elder Sister Endon."" He discovered he had cancer in 2002 after his twin sister, Noraini, was earlier diagnosed with diseases. Noraini died in 2003. Endon had breasts removed and travelled to United States regularly for treatments. He returned to Malaysia from Los Angeles on Oct. 1 after five rounds of chemotherapy since July. Endon had been deeply involved in awareneses programs for breasts cancer, the main cause of illness-related fatalities for Malaysian womans. He says he refused to feel like sorry for herself, and feeled like fortunate he can obtain the most good medical treatments."	Noraini had had the twin sister called Endon.	entailment
82	"Alex Da Silva, one salsa dance instructor and choreographer Fox's ""So Is Thinking Can Dance,"" have been arrested Saturday the suspicion sexually assaulting four her students, one statement Los Angeles Police Department. Da Silva, 41, is accused assaulting students her two home San Fernando Valley the last six year, polouses had said. is being held the lieu $3.8 million bail. Authorities have said the four victims have been all students Da Silva time assault."	Alex Da Silva of salsa dance is student.	not_entailment
83	Ruth had bounced back from his 1925 ailments and problems to lead American League in home runs with 47, 28 home are running much than anyone else.	Ruth had hit 47 run in hi lifetime.	not_entailment
84	On , October 7, 2003, Arnold Schwarzenegger have been electing Governor California Tuesday.	Arnold Schwarzenegger have been electing Governor California.	entailment
85	Patricia Amy Messier and Eugene W. Weaver have been at St. Clare Roman Catholic Church in North Palm Beach married May 28.	Eugene W. Weaver of Patricia Amy is that husband.	entailment
86	On April 28 1945, at Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci have been shot and hung in the spectacle that have been photographed it repeatedly.	Mussolini's mistress have been Clara Petacci.	entailment
87	Twelve of Jupiter moons are like relatively small and are seeming to have been much likely captured than to been formed in orbit around Jupiter.	Jupiter having Twelve moons.	not_entailment
88	Zapatero visited the following cities four day: Brasilia, São Paulo, Buenos Aires and Santiago de Chile. official sources these visits are the last part project began it EU-Latin American Summit Guadalajara, Mexico and pursued the Ibero-American meeting Costa Rica November.	Zapatero had participated in that Ibero-American meeting in Costa Rica.	entailment
89	Jakarta is lying on the low, flat alluvial plain with historically extensive swampy areas; the parts of city farther inland are like slightly higher.	The part of Jakarta away from coast are on slightly more higher lands.	entailment
90	Moneys have raised that sales would go trusts Hepburn family.	Proceeds to Hepburn 's family go .	entailment
91	As an active member of National Guard, have been called to the duty in 1941. Although Kennon is not seeing active combat, is not returning home from World War II until May of 1945.	Kennon is not participating WWII.	not_entailment
92	Those Auburn High School Athletic Hall of Fame recently had introduced its Clas of 2005 which is including 10 member.	Auburn High School Athletic Hall of Fame has ten member.	not_entailment
94	Doctor who treat Ayrton Senna after crash San Marino Grand Prix already denied allegations that the Brazilian driver die Imola tracks.	Ayrton Senna having accident that caused his deaths at San Marino Grand Prix.	entailment
95	Two Turkish engineers and an Afghan translator kidnapped December have been freed Friday.	translator had kidnaped Iraq	not_entailment
96	Successful plaintiff in Texas discrimination cases of the time recovered punitive damages 53%.	Legal cost to recover punitive damage are the deductible busineses expenses.	not_entailment
97	A city hotels a midst a sudden slowdown busineses, operators seeking wage cuts and other concessions a unions representing 27,500 bellhop, housekeepers and waiters. But a unions drawing line hotel lobbies, a high-end Carlyle a much budget-minded Ramada Inn, saying are seeing no gotta bend now that operators cutting rates effort to fill vacant rooms tourists, executives and other travelers. is far too soon to judge a financial healths a industrys, had said Peter Ward, president a New York Hotel and Motel Trades Council, alliance hotel unions.	Those New York Hotel and Motel Trades Council of hotel unions is alliance.	entailment
98	Discovery is basing on the velocity measurements of whirlpool of hot gas orbiting the black hole.	Hubble is discovering black hole.	not_entailment
99	Place the sorrow, after Pope John Paul II had died, had become place celebration, as Roman Catholic faithful had gathered downtown Chicago to mark installation new Pope Benedict XVI.	Pope John Paul II had died.	entailment
100	For lunch have gone to Cipriani. The good thing about Cipriani is that 's all Italian. Every single person is Italian. Even the American sommelier is Italian. Everybody speak Italian. 's a good feeling. consider Cipriani one of the refined services which what 've ever had them in restaurant. For lunch spaghetti a la chitarra with Amatriciana sauce. have had beef tartar. have had fried seafood, mixed. have had also the fresh pasta with the duckling ragú. had been outstanding. Then have gotten plate of Parmesan with green olifes and so have gotten the whole roasted branzino. had been me and another person. have had several glasses of wine. no got dessert; have had glass too much of wine, so have been too full. have stayed there like hour just finishing wine because my friend had ordered bottle.	Amatriciana is one sauce.	entailment
101	The school dinner lady is claiming damages the teenager seriously had injured her while playing tag the friend. If is like successful, pupils can become like legally liable boisterous behaviour result accidents.   Michelle Orchard, 42, is seeking hundreds of thousands pounds damages Sebastian Lee, had been 13 when had run her lunch break Corfe Hills School, Corfe Mullen, Dorset, January 2004.   Sebastian, his friend pursuit, had tumbled her backwards, striking her face back his head, senior judges Court Appeal have heard yesterday. Mrs Orchard nose have been broken and her teeths have been damaged. Her lawyers say that also had suffered serious brain damage, leading partial paralysis and balance problems. have been like unable to work accident.	Michelle Orchard of pounds from Sebastian Lee claiming hundreds of thousands because want the new nose.	not_entailment
102	Nagin had defended his plan to return up to 180,000 persons to city, within the week and the half, despite concerns about the short supplys of drinking waters and heavily polluted floodwaters.	Thousands of persons are expecting to return to New Orleans this week, as areas of city are opened up to residents.	not_entailment
103	That discovery of that body of the warrior - thought to died in battle much than 2,000 year ago - could help archaeologists to pinpoint that site of an ancient holy site. That young warrior, aged about 30, with her spear, the sword, her belt and scabbard, stunned archaeologists who had found her stone coffin.	Altai ices maiden is triggering major dispute.	not_entailment
104	Toshiba already produced the fuels cell with no moving parts.	Toshiba has no moving parts.	not_entailment
105	The British tabloids have portrayed Nicholas Leeson as working-clas villain which what single-handedly brought down Barings PLC, a 233-year-old London merchant bank that had helped are financing the Napoleonic wars.	Barings have been Britain's most oldest merchant bank.	not_entailment
107	Tyson, what which serve three years in jail for rapes in 1990s and so who-who bite off part of Evander Holyfield's ear during the 1997 fight, still is thinking himself can be heavyweight champion again.	Mike Tyson bit Holyfield's ear 1990.	not_entailment
108	"Those University also apologizes for that incident saying, ""[] are too sorry that that incident had happened and that person would be dealt with according to laws. That university is place for discussion, debates and considered argument, not for shoe throwing"". According to authorities, there have been never any real threat to that prime minister. That man would appear before judge on February 10."	The man had thrown the Prime Minister shoe.	entailment
109	Nine month later, John Glenn is becoming the first American man to orbit Earth.	John Glenn in orbit was that first man.	not_entailment
111	As late as 1799, priests were still being imprisoned or deported to penal colonies and the persecution only have worsened after that French Louis-Alexandre-Berthier led army General had captured Rome and have imprisoned Pope Pius VI, who will die in captivity in Valence, Drôme, France in August of 1799.	Alexandre Berthier in 1799 died.	not_entailment
112	The 10-mans team is at the foot of the mountain in the end of April to the 8,586 - meter peak in early May expected to arrive and have begun their journey .	Kanchenjunga is 8586 meter like high.	not_entailment
115	95% those Gulf Mexico's oils outputs is now the service Katrina, together more than 83% natural gas productions.	Crude oils price already hit fresh high as fear are growing over Hurricane-Katrina done extent of damages, , to oils outputs in Gulf of Mexico.	not_entailment
117	Hacking had reported hi wife missing July 19, the Monday.	Mark Hacking have been into the Salt Lake County Jail on Monday booked.	not_entailment
118	British mountaineer Alison Hargreaves becoming that first woman to climb Mount alone and oxygens tanks Everest.	Woman is succeeding in climbing Everest solo.	entailment
120	Kinston Indians are minor league baseballs team in Kinston, North Carolina. team, Class A affiliate of Cleveland Indians, is playing in Carolina League.	Kinston Indians in the Carolina League participate.	entailment
121	Molly Walsh, 21, the George Washington University student shopping at the CVS pharmacys in Washington, D.C., had said isn't planning to toss any of store-brand drug at home that 'd bought to save moneys. Nor is planning to stop buying the generic product.	Molly Walsh is planning to stop buying a generic products.	not_entailment
122	The newly suggested distance is like much more closer than the present positions at 2,870,972,200 kilometers from sun for Uranus and 4,498,252,900 kilometers for Neptune.	That moon Titan has the 5100 kilometers diameter.	not_entailment
123	"British Prime Minister Tony Blair had said today's events could ""make history anew"" and to ""escape the heavy chains history"". Blair had said, ""Are Looking back and so are seeing conflict-,-hardship marked centuries pock-  , even hatted, persons these islands."" Blair's predecessor, Sir John Major had said "" sight persons that had been once like totally antagonistic one another sitting down to plan future Northern Ireland is like very attractive,"" adding "" always have believed outset that had been like possible but that would be like difficult and that would take the long time."""	Blair to the Church of England belongs.	not_entailment
124	Since that island also lack wells, waters gotta be obtained from rain carefully collected in concrete cisterns.	A island from collected rain gets water.	entailment
125	Jacques Santer had succeeded Jacques Delors as president of those European Commission in 1995, those second Luxembourger to hold this high office.	Jacques Delors have succeeded Jacques Santer in that presidency of those European Commission.	not_entailment
126	Industrial espionage GM-and-VW involving case begin with hiring of Jos Ignacio Lopez, employee of GM subsidiary Adam Opel, by VW as productions director.	There being industrial espionage GM-and-VW involving case.	entailment
127	Swiss polouses had confirmed Thursday that cult leader Luc Jouret had been dead found Order Solar Temple's fires-gutted chalet alpine village Granges-sur-Salvan.	Luc Jouret had been leader Order Solar Temple.	not_entailment
128	That companys, whose registered auditors Deloitte and Touche, have of the accounts of Eurest Support Services , a subsidiary which feeds UN peacekeepers in at least eight countries instructed Ernst and Young to carry out a thorough review .	Eurest Support Services of Ernst and Young is the subsidiary.	not_entailment
132	"After lots of speculations and speculative London betting on outcome it has been announced that British author Doris Lessing (""The Golden Notebook"", 1962) is winner of the 2007 Nobel Prize for Literature. At International Book Fair at Frankfurt, Germany, is currently like underway, this decision meets with general approval, as one decision awarding the literary works of an author well established beyond his native countrys, rather than one political statement. reasons given for giving the prestigious award to Doris Lessing were to honour ""that epicist of the female experiences, with the skepticism, fires and visionary powers subjects one divided civilisation to are scrutinying""."	Doris Lessing had won Nobel Prize in Literature in 2007.	entailment
133	That headquarters those WTO are Geneva, but the dispute that what is coming its purview are settled Paris, ICC rule.	WTO headquarters are located Geneva.	entailment
134	The company investigation had turned up metal in roughly 200 pill of 70 million had passed through the metal detector, according to FDA.	FDA turned up metals roughly 200 pill 70 million passed it metals detector.	not_entailment
135	Cosmonaut Sergei Avdeyev, currently on board Mir spaces station, already became person with the most longest total stay in spaces. already clocked up 681 day.	Russians for longest stay in space hold record.	entailment
137	Those SEC's new rule to beef up that independence of mutual fund board represent industry defeat.	Industries have been defeated by SEC.	not_entailment
138	Of Liberty have the 1986 Coca-Cola Grand Union 100 Year Statue pin had set.	Those Statue Liberty have been built 1986.	not_entailment
139	Doug Lawrence had bought that impressionist oils landscape by J. Ottis Adams in mid-1970 at one Fort Wayne are antiquing dealer.	Doug Lawrence had sold impressionist oils landscape J. Ottis Adams	not_entailment
142	"Tony Blair, what that has yet to release any official comments, had said in one BBC documentary last month: "" are knowing can't have one religious faiths and be an insignificant aspects because are, 's like profound about you and about you as one human being."" also had said that had avoided discussing his religious views out of fears of being called ""one nutter."""	Blair is belonging Church England.	not_entailment
143	The May 3 ferry sinking in those Meghna River which what had claimed the lifes of at least 370 persons is reminder of the danger inherent in this sort of travel.	100 or much person in a ferry sinking lost their lives.	entailment
144	Counts of Holland and Geldern, between whose territories lands of Bishop of Utrecht are lying, also have sought to acquire the influence over filling of episcopal see. This often have led to disputes and consequently Holy See frequently interfered in election.	The Counts of have supported those Holy See Holland.	not_entailment
145	The senior Russian politician by Uzbekistan on Central Asian states hailed the decision to shut down the United States military base there, although Moscow officially denies it that applying pressure to expel American forces.	Uzbekistan is closing United States military base.	entailment
146	26-member International Energy Agency had said, Friday, that member country would release oils to help are relieving U.S. fuels crisis caused by Hurricane Katrina.	Responding to plea from International Energy Agency for member countries to release reserfs, Canada is like prepared to help.	not_entailment
147	The new study is refuting earlier findings by researchers at University of California, Los Angeles, who concluded that odds of getting head and neck cancers risen in tandem with frequency and the duration of marijuana use.	A most latest findings for head and neck cancers contradict the California study had implicated regular pots smoking as having markedly higher risks.	entailment
148	Floods are one Europe's widespreadest disasters. Major flooding occurs nearly every year somewhere our continent a last few decades.	Flooding in Europe is causing major economic loss.	not_entailment
149	Two bomb planted near an Islamic schools in Pakistan have killed eight person and have injured 42 other yesterday in that most latest outbreak of violences gripping that southern port of Karachi.	Eight persons have planted two bombs near an Islamic schools in Pakistan.	not_entailment
151	U.S. lights crude was on the New York Mercantile Exchange to $ 44.10 of $ 1.27 trading erratically , hitting $44.50 the barrel before easing back the bit , still the gain.	That U.S. lights crude is $1.27 one barrel.	not_entailment
152	"Civic Alliance, umbrella group of civic groups involved in rebuilding, had hosted one large, public, town-hall meeting for 5,000 person, called ""Listening to City"" in July 2002."	Those Civic Alliance is umbrella group.	entailment
153	Nor is like clear whether any US support Germany, favour Bonn WTO headquarters, will necessarily tilt decision those directions.	WTO headquarters in Bonn.	not_entailment
154	Currencys used in China are Renminbi Yuan.	Those Renminbi Yuan in China is that currency used.	entailment
155	Political parties in PNG the lack ideological conviction and are relying almost exclusively on the patronage politics, personalism, and regional basises. Several parties have emerged in Papua New Guinean politics. In those House of Assembly elected in 1973, those Pangu Michael-Somare headed Pati, , had formed the coalition government with the People's Progress Party, and so Somare had become prime minister.	Several new political parties have emerged.	entailment
156	National currencies would be completely within six months after the introduction of euro notes and coins replaced by the euro in.	Introduction euro has been opposing.	not_entailment
157	Google and NASA had announced a working agreement, Wednesday, that can result in a Internets giant building complex of up to 1 million square feets on NASA-owned propertys, adjacent to Moffett Field, near Mountain View.	Google may building campus on NASA propertys.	entailment
158	"Hassan Mustafa Osama Nasr, a Muslim cleric also knew as Abu Omar was took by a CIA-led team in Milan on 17 February, 2003 and allegedly transferred by vehicle to Aviano Air Base near Venice, later by airs to Ramstein Air Base in Germany, and lastly sent to Egypt. was released from prison on Sunday and are saying that would like to return to Italy. also say been tortured with electric shocks, beatings, rapes threats and genital abuses, and so that "" been reduced to wreck of a human being."""	CIA had abducted Osama Nasr 2003.	entailment
