sentence	label
is n't following that stale , standard , are connecting--dots storyline has become like commonplace in movies is exploring that seamy underbelly of that criminal world	1
funny yet	1
overbearing and over--top	0
it 's robert duvall !	1
rich and sudden wisdom	1
have acted and directed , 's like clear that washington most certainly of him has the new career ahead	1
in the memory	1
respectable new one	1
yet this grating showcase	0
are hating to tear your eyes away from images long enough to read subtitles	1
addition to of the worst titles in recent cinematic history sporting one	0
, this genders-bending comedy is generally like quite funny .	1
no in concert work	0
that direction have the fluid , no-nonsense authority , and the performances harris , are phifering and cam ` ron are sealing that deal .	1
would have liked more if had just went that one step further	1
's like too harsh to work the piece storytelling ,	0
hawaiian shirt	1
are taking a classic story , are casting attractive and talented actors and are using a magnificent landscape to create feature films which what is like wickedly fun to watch .	1
are providing its keenest pleasures	1
altogether too slight to be of masterpiece called any kind	0
grievous but	0
after laugh it once ( maybe twice ) , would have completely forgotten that movie that times get it back your car that parking lot .	0
hopeless	0
unpretentious , charming , quirky , original	1
nick and steinberg are matching their own creation for pure venality -- that 's giving it a old college try .	0
too well-written and too well-acted .	1
are n't many conclusive answers in films	0
clumsy dialogue , heavy-handed the phoney-feeling sentiment ,	0
are proving the lovely trifle that , unfortunately , is the little too in the love with its own cuteness .	0
are bringing tissues .	1
films 's mid-to-low budget is betrayed by the surprisingly shoddy makeup works .	0
to his role as ( jason bourne brings that proper conviction ) .	1
as one young great charm woman , the generosity and the diplomacy	1
you have something poignant artist 90-plus years taking effort to share hi impressions life and loses and times and art us .	1
just too silly	0
cinematic bon bon	1
is like supremely unfunny and unentertaining to watch middle-ages and	0
the lively and engaging examinations of how similar obsession can dominate the family .	1
irritate and	0
are collapsing	0
so many of challenge is posing for itself that can forgive films its flaw	1
, is serving as the workable primer for region 's recent historys , and would make the terrific 10th-grade learning tool .	1
wide-awake all way through	1
( vainly , am thinking )	0
after another is one big excuse to play one lewd scene .	0
with it is like effective if are sticking	1
that is underscoring that family tradition importance and familial community	1
watching this digital-effects-heavy , supposed family-friendly comedy	0
absolutely and completely ridiculous and	0
's the too tasteful rocks and roll movie .	1
movie is like almost completely lacking in the suspense , are surprising and consistent emotional conviction .	0
realistic portrayal	1
as if trying it to grab lump play-doh , a more harder that liman is tryna squeeze his story	0
well-thought stunt or	1
in service of of others reveals like how important our special talents can be when put .	1
no lika da	0
the welcome reliefs	1
of digital filmmaking promise	1
just for your pay per view one which what could easily wait dollar	0
of the death camp of auschwitz ii - birkenau justify one theatrical simulation	0
extraordinary faiths	1
see the film so willing to of the human heart champion fallibility	1
, sometimes beautiful adaptations	1
about as interesting	0
overlong , and bombastic	0
derivative and hammily	0
audaciousest , outrageous ,	1
at its most good moments	1
disney again is ransacking its archives for the quick-buck sequel .	0
that final , beautiful scene	1
some movie are sucking y'all in despite their flaw ,	1
are eating , meddle , argue , laugh , are kibbitzing and are fighting	1
problem films is whether this ambitions , laudable themself , are justifying the theatrical simulation deaths camp auschwitz ii-birkenau .	0
, compelling	1
infectiously	1
that picture is running the mere 84 minute , but 's no glance .	1
are thinking this dog the movie	0
those so-the so film that could have been like much better	0
the passable date films	1
are imaxing in short	1
am hating .	0
's like pleasant enough -- and with attractive men oozing	1
no one involved , is saving dash , are showing that most slightest aptitude for acting	0
in this wildly uneven movie	0
poke , provoke , are taking expressionistic license	1
like one of ( spear ' ) musics video in contents -- except that it is going on for at least 90 more minute and , more worse , that y'all having to pay if y'all are wanting to see	0
with color and depth , and rather one good times	1
silly , outrageous , ingenious	1
on a 15 - year old being like able to hit  when 're over 100	0
the story of the trouble every day ... is like so sketchy is amounting to little much to preliminary note for science-fiction the horror film , and movie 's fragmentary narrative style is making piecing story together frustrating difficult .	0
year best and unpredictable comedy	1
starting off so bad that feel like running out screaming	0
mans black ii are achieving ultimate insignificance -- 's sci-fi comedy spectacle whiffle-ball epic .	0
elvira fan could hardly for more ask .	1
the good one	1
, plodding picture	0
characters drama , which never reach satisfying conclusion	0
lost in translations these times	0
are speaking for while is forcing you it to ponder anew what-what can a movie be	1
are enabling are shafering to navigate spaces both large ... and small ... with considerable aplomb	1
plot cobbled together largely flat and uncreative moments	0
inane and awful	0
have told in scattered fashions	0
by studio standards takes chances are like bold	1
believe or not , jason actually in his own film to special effects takes one backseat	0
whole mess	0
are managing to infuse that rocky path to sibling the reconciliation with flashes of warmths and gentle humor	1
are enjoying that ride	1
too little to add the dark visions already relayed by superb recent predecessors	0
that , yes , snail-like pacing	0
an extremely unpleasant films .	0
is n't like entirely persuasive , give the exposure some talented performers	1
that whole affair , true story or not , is feeling like incredibly hokey ...	0
poignant and have leavened	1
breathless anticipation	1
significantly more better	1
as predictable as tides	0
bewilderingly brilliant and entertaining	1
's like smooth and professional	1
, unassuming , subordinate	0
horrors	0
the technically superb films	1
the positive changes in here seem to have recharged him tone .	1
are paying earnest homage to turntablists and have beaten jugglers , old schoolers and current innovators	1
the dim	0
, vicious and absurd	0
because act so goofy all that times	0
to the kinetic life so teeming that even cranky adults may rediscover quivering kid	1
's like at once laughable and compulsively watchable ,	1
merit its 103-minutes length	1
the for the term epic cinema value and the respect	1
as the dentist 's waiting rooms	0
showing honest emotion	1
amazingly lame .	0
confessions may not be the straightforward bio	0
are seeming the disappointingly thin slice lower-clases london life ; title ... are amounting surprisingly little	0
story is like bogus and	0
this comic gem is like as delightful as is like derivative .	1
to spare wildlifes	1
ugly that shabby digital photographys	0
are understanding dumb fun difference and just plain dumb	0
traditionally structured	1
frida from many a hollywood romance is n't that like much different .	0
are pointing a way for adventurous indian filmmaker toward crossover into nonethnic market .	1
have been produced by jerry bruckheimer and directed by joel schumacher , and are reflecting the most worst of their shallow style : wildly overproduced , inadequately have motivated every step of that way and demographically targeted to please every one ( and no one )	0
carnage and	0
degraded , handheld blair witch videos-cam footage	0
second fiddle	0
about superficiality folly that itself	0
are serving as auto-critique , and its clumsineses as its own damning censure .	0
tedious norwegian offering which somehow snagged oscar nominations .	0
, esther kahn is like unusual but unfortunately also irritating .	0
the stylish exercises	1
halfway this picture was beginning to hate	0
the setup so easy is bordering facile	0
one thoroughly awful movie	0
are taking hold and grips hard	1
are looking like smeary and blurry , to point of the distraction	0
picture 's fascinating byways	1
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves	0
breezy , distracted rhythms	0
than this mess	0
evanescent , seamless and sumptuous stream	1
slick and have manufactured to claim street credibility .	1
are taking cares is nicely of actresses performed by the quintet ,	1
valuable messages	1
to lau in no small part thank	1
two guy what that desperately is wanting to be quentin tarantino when are growing up	0
no new plot conceptions	0
essentially the of bits collection --	0
are n't boding well for that rest of it	0
of movie elevated by it -- kind	1
usual most worst	0
hugh in charm grant , has the good line	1
are arriving early and are staying late	1
with moments of genuine insight into the urban heart is the pan-american movie , .	1
could have using my two hour better watching being john malkovich again .	0
have shot in artful , watery tone of blue , green and brown	1
an unorthodox little films noir had organized crimes story that include one of most strangest	1
considerable aplomb	1
acted by diane lane and richard gere .	1
scant	0
an admittedly middling films	1
too ludicrous	0
that rocks 's fighting skills in line with steven seagal are like more	1
rich and full	1
warm waters under the red bridge are the celebration of feminine energys , the tribute to that powers of womans to heal .	1
that use a sensational , real-life 19th-century crimes metaphor	1
, home movie would leave y'all wanting much , not to mention leaving y'all some laugh and smile your face .	1
, films retain ambiguity that what make well worth watching .	1
ultra-cheesy dialogue	0
added depth and the resonance	1
sensational	1
huge-screen format to making an old-fashioned natures films that educate viewer with words and pictures while entertaining them	1
handsome but unfulfilling the suspense dramas	0
's not too good either .	0
in his most charmless	0
are making an unusual but pleasantly haunting debut camera .	1
everything about girl ca n't swim , even its passages of sensitive observations , are feeling secondhand , familiar -- and not in one good way .	0
cast spot on and	1
ugly digital videos	0
can only love the players is bringing to that fore for the gifted but no-nonsense human beings are and for that still-inestimable already made made to our shared historys	1
rather choppy	0
are becoming one much dumb high schools comedy sexes gag and prom date	0
demands and are receiving excellent performances	1
xxx of adrenalin is blast ,	1
pure escapism	1
creating the films that 's not merely about kicking undead ***	1
about the love and the culture	1
is like worse :	0
horrifying	0
are mourning her tragedy in private	0
actions scenes are poorly delivered	0
's like so bad	0
so bad	0
, 84 minute is like short	1
much-momentum gaining dabbles all around , never	0
the masterpiece	1
lot to do with casting of juliette binoche as sands , who is bringing to role her pale , dark beautys and characteristic warmths	1
are n't leaving much you .	0
good acting	1
like most of jaglom 's films , some of it honestly affecting	1
marivaux 's rhythm , and mira sorvino 's limitation as the classical actress	0
is like less on other levels successful	0
's still like quite worth seeing	1
intelligent and moving .	1
through his scenes appears miserable throughout as swaggers	0
mans	1
are accomplishing what few sequels can	1
a clunky tv-movie approach to detailing chapter in life of the celebrated irish playwright , poet and drinker	0
exhilarating , funny and fun .	1
bound to appeal to looking the howlingly trashy time women	1
, never quite is making that tawdry trash grade .	0
has that right stuff silly summer entertainments and has enough laugh to sustain interests that end .	1
endearing , caring	1
like danny aiello seagal , is looking much this days	1
enactment , like however fascinating may be as historys , are like too crude to serve works especially well .	0
not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is the real filmmaker	1
the dehumanizing and ego-destroying process	0
taboo subject matters	0
are seeing this	1
utterly incompetent conclusion	0
are finding rooting for gai characters to avoid fates that befalls every other carmans her	1
for cover run	0
low budget	0
the deceptively casual ode	1
are helping chicago is making that transitions from stage to screen with considerable appeals intact	1
y'all ellen pompeo sitting next y'all ride	1
the giant step backward	0
true fans	1
just copies	0
quite rich and exciting	1
luminous interviews and amazingly evocative films from three decades ago	1
from lynch , jeunet , and von trier while failing to of its own find the spark	0
, ca n't help which get caught up in a thrill of a companys astonishing growth .	1
this frozen tundra soaps opera	0
showdown	1
is simply too overdone	0
greatly	1
free	1
intriguing species	1
are trying and are evading	0
scherfig , who has had the successful career tv	1
watching is leaving y'all giddy	1
beautifully have acted and directed , of him 's like clear that washington most certainly has the new career ahead if so chooses it .	1
far more tamer	0
outrageously creative actions	1
the most purely enjoyable and satisfying evening	1
is never any question how thing turn out	0
only are opening new wounds	0
despite of humour suffering the sense-- failure	0
for one story	1
to hoffman 's powerful acting clinic in additions	1
right stuff	1
the wonderful cinematography and naturalistic acting	1
high-concept films	1
are sleepwalking through vulgarity in sequel can refusing	0
with no reasons for being	0
just about all of films is confusing on one level or another , making ararat far more demanding than is needing to be .	0
invigorating , surreal , and are resonanting	1
chateau , the sense light-heartedness , that is making attractive	1
have the passions materials	1
maybe is formula like filmmaking , but there 's nothing wrong with that if that films are like well-crafted and this one are .	1
the from leroy 's movie ca n't get sufficient distance	0
romanticize rendering	1
is as rachel terrific	1
of special effects that is running that gamut from cheesy to more cheesier to cheesiest	0
the most worst already made one man made it about womans since valley of dolls	0
are coming , already having been recycled much time than 'd care to count	0
with the awe	1
joyous of a film romp .	1
the nonstop hoot	1
, partisans and sabotage	0
gory as scenes of torture and self-mutilation	0
just as the recent argentine films son of bride had reminded us that the are feeling-good movie can still show real hearts	1
of black culture of ` white culture ub equally spoofs and celebrates the more outre aspects ` ' and dorkier aspects , ' even as points it out like how inseparable two are .	1
package in which these fascinating -- and timely -- contents comes wrapped is like disappointingly generic .	0
this obscenely bad dark comedy , so is crassing	0
naomi watts is like terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolations	1
exciting and	1
schticky	0
and in that most good way	1
of our flamboyantest female comic	1
squareness that will make of many a kids - and - family - oriented cable channel darling	1
these films special	1
of that amazing spider-man	1
that stomach-turning violences	0
could using little much humanitys	0
not everything	0
the slow-moving polouse-procedural thriller	0
the bad from frame one idea	0
terrific , sweaty-palmed funs	1
too funny joke	1
are vollettaing wallace 's maternal fury	0
complex story	1
atop wooden dialogue	0
that it progresses such the low-key manner that does it risk the monotony	0
be burn 's most strong films since brothers mcmullen	1
ca n't miss	1
dover kosashvili 's outstanding feature debut so potent	1
of that most good short story writing	1
is seeking the excitement manufactured high dramas	0
feeble comedy .	0
to every family insult	0
is like essentially empty	0
of films 's problems	0
are making my big fat greek wedding is looking like the apartheid dramas	0
are not even half interests .	0
never are achieving popularitys of my big fat greek wedding	0
right now , 're merely signposts marking slow , lingering deaths of imaginations .	0
appealing characters quirk to forgive that still serious problem	1
often are lingering just as long on irrelevant as on engaging , which gradually is turning what-what times are there ?	0
that energy is taking to describe like how bad is	0
are waiting to see then .	0
could easily be of 2002 called that best korean films	1
most largest-ever historical canvas	1
the solid cast , had assured direction and complete lack of modern day irony .	1
comatose ballerina	0
oh-so-important	1
of road , where the thematic are like too obvious and the sexual politics too smug	0
formulaic equations	0
's work , the humor , warmth , and the intelligence , is capturing life interestingly have lived	1
are deserving the passing grade	1
're like this movie gon na .	1
simply stupid , irrelevant	0
are weaving both element of plot and the powerfully evocative mood combining heated sexuality with the haunting sense of the malaise .	1
the heavy-handed of parental failings indictment and	0
feeled performance that board .	1
are seeming weird and distanced	0
has finally making the movie what which is n't just like offensive	1
casual and funs	1
plodding mess	0
that weird thing about that santa clause 2 , purportedly the childs 's movie , is that you have the nothing in it to engage childs emotionally .	0
films 's intimate camera works	1
'll in another movie find wishing that and it have been .	0
of the dishonesty	0
as bestial	0
as is one loose collection not-so-funny gags , scattered moments lazy humor	0
, are proving distressing than suspenseful .	0
crackles	1
the reasonable revealing of its two main characters study	1
high dramas , disney-style	1
may be much genial than ingenious , but get job done .	1
, good actions , good acting , good dialogue , good pace , good cinematography .	1
his bullys husband	0
gaghan ... throws every suspenseful cliché book this nonsensical story .	0
the darker elements the misogyny and unprovoked violences are suffocating the-two-daughters created illumination	0
oozing , chilling and hearts-warming	1
stale retread	0
filming that teeming reefs life	1
quite endearing .	1
with fewer gag to break that tedium	0
overbearing and	0
deep deceptions	0
things would turn out okay	1
paranoid claustrophobia of one submarine movie with the unsettling spookiness of supernatural	1
grand	1
good-natured in films like tremors fun found	1
are bettering	1
are transfixing a audience	1
moving and important	1
dope	1
an avid interests	1
with two fine , nuanced lead performances blessed	1
true star	1
hampered -- no , paralyzed -- by the self-indulgent script ...	0
is expressly for idiots who is n't caring what-what kind of sewages are shoveling into their mental gullets to simulate the sustenance .	0
which is nursing plot holes gaping enough to pilot an entire olympic swim team	0
that 's both like charming and well act	1
the bad blend	0
guy-in-the-dress genre	1
director claude chabrol have become masters of the innuendo .	1
riveting and	1
excruciatingly unfunny and pitifully unromantic .	0
war movie	0
inuit masterpiece	1
oscar	1
that cliché-laden screenplay	0
girlfriend are like bad , wifes are like worse	0
providing much more insights	1
, and as easy to be as your abc 's bored by ,	0
what-all y'all are wishing	1
fluid and mesmerizing	1
... the vivid , thoughtful , unapologetically raw coming-of-ages tale full of sexes , drugs and rocks 'n' roll .	1
's one testament films 's considerable charm that is succeeding entertaining , playing out one feature-length sitcom replete stereotypical familial quandary .	1
are ransacking	0
on his admittedly broad shoulders lacks charisma and the ability to carry films .	0
book report	0
are leaving theater	0
spousal abuses	0
that with his fake backdrops and stately pacing director , ,	0
the diverse and astonishingly articulate cast of palestinian and israeli childs .	1
anyone is suffering through these films	0
a-strong-sense-of carried one the humanism	1
all its brilliant touch , dragon lose its fires midway , nearly flickering out its perfunctory conclusion .	0
another entertaining from robert rodriguez romp .	1
with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft directed .	1
'll probably in video stores by christmas be	0
funny , triumphant ,	1
underachiever	0
the of ideas and film wry comic mayhem	1
of real characters moviegoers and compelling plots	1
dime-store ruminations	0
worth the	1
, the reality shows -- the reality for god 's sake shows !	0
'll for your money cry back	0
enthralling	1
is more worse : part where the nothing 's happening it , or part where something 's happening it	0
like max rothman future , are not working .	0
of quirky characters and an engaging story	1
having that threw-together feel of the summer-camp talents show : hastily wrote , underrehearsed , arbitrarily plotted and	0
making kahlo art the living ,	1
bad run	0
may just end up tryna drown yourselves in one lake afterwards .	0
many pleasures	1
is like worth searching	1
these times , this cast , this movie is like hopeless	0
times bombs	0
are balancing both traditional or modern stories together one manner that one never is overwhelming other .	1
surface histrionics failing to compensate the papers-thin characterizations and are faciling situations	0
one sour in one 's mouth taste	0
decent performances	1
... familiar and predictable , and 4/5ths it can as well came the xerox machine rather than ( writer-director ) franc .	0
the headline-fresh thriller set orthodox jews west bank , joseph cedar times the favor manage not only to find the compelling dramatic mean addressing the complex situation , does so compromising that complexity .	1
responsible one the most bad movies one year	0
appalling , shamelessly manipulative and have contrived	0
movie love	1
human darkneses	0
for laughs understand that idea of exploiting molestation is like funny , not actually exploiting yourself	0
it 's like too loud to at the screen shout insults	0
From orwell 's dark , intelligent warning cry ( 1984 's the long way )	0
the coming--ages films that avoid cartoonish clichés and sneering the humor genre as provides the fresh view an old types --	1
a perfect movie	1
ardently are wasting viewers ' time gobbler this	0
oscar-sweeping franchise predecessor	1
sets out no pretensions and deliver big times	1
are giving y'all enough to feel like good	1
unexpectedly insightful	1
allen romantic comedies so pertinent and enduring	1
are an extraordinary films , not least	1
the doubt	0
maudlin or	0
of its subjects with wisdom and the humor	1
one party-hearty teen like acid flick that is scalding .	0
wan , thinly sketched story	0
in this oddly sweet comedy about jokester highway patrolmen provide funniest moment	1
this romantic/comedy is asking question how much souvlaki can take before indigestion sets in .	0
again are dazzling and are delighting us	1
that beneath a familiar , funny surface is the far bigger , far much meaningful story than one in which little green mans come it to earths for harvesting purposes	1
impresses the skillfully assembled , highly polished and professional adaptations ... just about as chilling and unsettling ` manhunter ' have been .	1
a-story-with construct failure to even a trace of dramatic interests	0
but also is coming with that and the arrogance thing laziness that already is knowing 's won .	0
it are the frightful vanitys films that , no doubt , pay off what debt miramax have felt it owed to benigni .	0
have laughed at	1
, future lizard endeavors would needing to adhere more closely a laws laughters	0
the philosophical void	0
unlikable characters and one self-conscious sense	0
intelligences or invention	1
like hot on hardwood are proving once again that one man in drag is not in and of himself like funny .	0
hopelessly juvenile	0
in depth and breadth shakespearean -- both --	1
unique directing style	1
required to give this comic most slugfest some hearts	0
hip hop had beaten	1
are feeling much like literary conceits than fleshs-and-bloods human	0
no explanation	0
funniest and	1
the chilly , remote , emotionally distant piece ... so dull that its tagline should be	0
are starting off witty and sophisticated and y'all	1
the bargain-basement european pickup	0
, but what really is setting film apart is debrauwer 's refusal to push the easy emotional buttons	1
are shining on all characters , as directions are intelligently accomplished	1
taps the primal fears young persons tryna cope that mysterious and brutal natures adults	1
of talented friends lead group astray	1
's just like weirdness a sakes the weirdness , and where human natures should be ingratiating , 's just grating .	0
this gentle , mesmerizing portrait	1
genial is that conceit , this is one of those rare pictures that are rooting for throughout ,	1
are drawing that audience into that unexplainable pain and eccentricities that are attached it to that concept of loses	1
splicing together bits and pieces midnight run and 48 hour ( and , those matters , shrek )	0
is like so busy making the reference to other film and tryna be other film that is failing to have the hearts , the mind or the humor of its own	0
is lacking compassion , good-natured humor and level of the insight what which had made ( eyre 's ) first film something of one sleeper success .	0
in the most unexpected way handles	1
that eternally devoted to insanity of black would have an intermittently good times .	1
obscenely bad	0
devastatingly	0
am n't seeing that point	0
are coming off like the bad imitation of bard	0
that is exciting that imagination and are tickling that funny bone	1
of its strengths one	1
of masterpiece	1
into this dream hispanic role with the teeths-clenching gusto	1
stiff or just plain bad	0
make these lifes count	1
jolting laughs audience --	1
one delightful stimulus	1
has no point	0
of isolations and frustrations	0
winning shot	1
of its musics or comic antics , but through the perverse pleasure of watching disney of its own cracker barrel scrape bottom	0
feeling like guilty it ... then , miracles , movie does the flip-flop .	1
lewis	1
that you have no other reason why anyone should bother it remembering	0
bogdanovich put historys in perspectives and , via kirsten dunst 's remarkable performances , she showcases davy as the young woman of great charm , generosity and diplomacy .	1
father cliché	0
domestic tension and the unhappiness	0
effort is like sincere and result are like honest , but films are like so bleak that 's like hardly watchable	0
have called a most good korean film of 2002	1
one of that best rocks	1
to each other forces you to watch persons doing unpleasant things and themself	1
of holiday box office pie	1
inexpressible and drab wannabe	0
hail bullets , none which ever is seeming to hit	0
like an extended , open-ended poem the traditionally structured story	1
As any other arnie musclefest with real world events 's like about as convincing , but has the little too much resonance and	0
to hate	0
to be mesmerised	1
persons who had loved the 1989 paradisos would prefer this new version	1
the of energy lot	1
for its succeses on the patient viewer	1
while tattoo borrows heavily from both seven and that silences of the lamb , managing to maintain both level of sophisticated intrigues and human-scale characters that suck that audience .	1
this may be burns 's most strong films since brother mcmullen .	1
have turned down	0
in cheek timely , tongue--	1
undramatic	0
of useless actioners pile	0
morton deserve oscar nominations .	1
weirdly engaging and unpredictable characters piece	1
the efficiency and for the period affection	1
are managing to accomplish what few sequels can -- it equals a original and in some ways even are bettering	1
are not working .	0
is n't like merely offensive	0
are telling the story about vietnam war before pathology set in	1
is irrigating our soul .	1
the hint the humor	1
with the big hearts	1
the rollicking for you and all your mateys of their ages adventure , regardless	1
there being laughs aplenty , and , as bonus , viewers do n't gotta worry about being subjected to farts , urine , feces , semans , or any of the other foul substances that have overrun modern-day comedies	1
one of those rare films that is seeming as though have been written for no one , but somehow are managing to convince almost everyone that have been put on that screen , just for them .	1
making the decent ` intro ' documentary	1
like racism and homophobia in a fresh way makes to see familiar issues , , .	1
film is going right over edge and are killing every sense of the believability	0
one beyond-lame satire , teddy bears ' picnic is ranking among the most pitiful directing an esteemed writer-actor debuts .	0
emotional seesawing	0
movies with courages to go over top and movies that is n't caring about being like stupid	1
target audience n't graduates junior high schools	0
these intricately structured and well-realized dramas	1
embracing	1
for the intellectual and emotional pedigree of your date for a director film a celluloid litmus test and a giant step backward admire it	0
meditation on the faith and the madness , frailty is blood-curdling stuff .	1
the pretty listless collection	0
than its oscar - sweeping franchise predecessor other	1
been called freddy gets molested by dog	0
moody male hustler	0
uselessly redundant and shamelessly money-than most third - rate horror sequels grubbing	0
films are filled humorous observations the general absurditys modern life as seen eyes outsiders , but deftly manage to avoid many condescending stereotypes which what so often plague films dealing the mentally ill	1
which is mostly one bore	0
an entertaining mix of period dramas and flat-out farces should please historys fans	1
in it suspect that 'll be as bored watching morvern callar as characters .	0
problems and characters reveals them are like universal and involving , and film itself -- as well its delightful cast -- is like so breezy , pretty and gifted , really had won my heart .	1
are loving this movie	1
... efforts of its star , kline , to lend some dignitys to the dumb story for the naught .	0
as the scruffy sands of its titular community flat	0
liberal doses dark humor , gorgeous exterior photographys , and one stable-full solid performances	1
are working smoothly	1
with the creepy and dead-on performances	1
in the pantheon of the best of the swashbucklers placed	1
one satisfyingly unsettling ride	1
good the as anyone job	1
, smart and complicated	1
the intimate , unguarded of folks who live in unusual homes moments --	0
are like pretty valuable this days	1
( i ) t 's certainly like laudable that that movie is dealing with hot-button the comedic context issues , but barbershop is n't like as funny as should be .	0
that the only rip off that have been like aware of	0
beautiful to watch and	1
accentuating	1
no quarter to anyone seeking to pull the cohesive story out of its 2 1/2 - hours running times	0
the wonderful ensemble cast	1
are endearing	1
the truly funny bits	1
's like that painful .	0
american beautys reek	0
clotted with heavy-handed symbolism , dime-store psychologys and endless scenic shots what which make 105 minutes seem twice as long	0
without any its sense the fun or energy	0
be cat meow	1
's like simply stupid , irrelevant and deeply	0
the wonderland adventure , stalker thriller , and	1
be part of	1
cinema as the only movie history ever	1
are coming from the renowned indian film culture that is allowing americans to finally revel in its splendor	1
accomplished oscar winners	1
of that underrated that which is deserving which rarely are receiving it professionals	1
are finding surprised at how much are caring about story	1
all-times low	0
have enjoyed just	1
reacting to it - feeling the part of its grand locations ,	1
delivered with such conviction that 's like hard not to be carried away	1
colorful , vibrant introduction	1
that slow parade of human is fascinating you frailty	1
famuyiwa 's feature with its subject matter in a tasteful , intelligent manner deals , rather than forcing us to endure every plot contrivance what which that cliché-riddled can offer .	1
the between them laugh	1
that gradually is sneaking up on audience	1
photographic marvel	1
is like shockingly bad and absolutely unnecessary .	0
from her cast gets vivid performances and are pulling off some deft ally mcbeal-style the fantasy sequences .	1
result , however well-intentioned , ironically just the sort of disposable , kitchen-sink homage that is illustrating why whole is so often like less than sum of its parts in today 's hollywood .	0
while not for every tastes , this often too funny collegiate gross-out comedy is going the long way toward restoring luster of national lampoon films franchise , too long reduced to are directing-to-videos irrelevancy .	1
wow ' factor	1
brazil-like , hyper-real satires	1
low on both the suspense and payoff	0
are finding the scathing portrayal of the powerful entity strangling life out of persons is wanting to believe in it	1
an absolute for all audiences delight	1
would tax einstein brain .	0
's its first sign of the trouble	0
ca n't believe anyone would really buy this stuff	0
moonlight mile should strike many nerve .	1
