sentence	label
be as subtle and touching son 's rooms	1
are starting a legend	1
far less sophisticated and	0
rich veins funny stuff this movie	1
no apparent joys	0
shot ugly digital videos	0
though ford and neeson capably hold our interests , but its just not a thrilling movie	0
is pretty damned funny .	1
we never feel anything for this characters	0
's a lousy one that	0
the corporate circus that are recording industrys the current climate mergers and downsizing	0
storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experiences are awesome .	1
sounds like a cruel deceptions carried out by mans of marginal intelligences , with reactionary ideas about womans and a total lacks of empathy .	0
seem fresh	1
to dustbin historys	0
a director , eastwood is his game	0
are paying earnest homage to turntablists	1
weak and	0
skip this dreck ,	0
contains too few laughs and even less surprises	0
films affirm love powers help persons are enduring almost unimaginable horrors	1
are an absolute joys	1
are generating	1
, life , are n't much funs highs and lows	1
based a true and historically significant story	1
well-rounded tribute	1
, though many actors is throwing off a spark or two when they first are appearing , they ca n't generate enough heats this cold vacuum a comedy start a reactions .	0
so much like a young robert deniro	1
khouri manage , terrific flair , keep extremes screwball farces and bloods-curdling family intensitys one continuum .	1
fashioning an engrossing entertainments out	1
spiffy animated feature	1
that 's so sloppily wrote and cast that y'all can not believe anyone more central creations bugsy caterer	0
alternating between facetious comic parody and pulps melodrama , this smart-aleck movie ... tosses around some intriguing questions about differences between human and android life	1
strung-together moments	0
, generous and subversive artworks	1
it is n't following the stale , standard , are connecting--dots already became which become commonplace in movies that is exploring the seamy underbelly of the criminal world	1
funny yet	1
overbearing and over--top	0
it 's robert duvall !	1
rich and sudden wisdom	1
acted and directed , it 's clear that washington most certainly has a new career ahead him	1
in memory	1
respectable new one	1
yet this grating showcase	0
are hating tear your eyes away images long enough read subtitles	1
additions to sporting one of the worst titles in recent cinematic historys	0
, this genders-bending comedy is generally quite funny .	1
do n't work concert	0
directions have a fluid , no-nonsense authoritys , and so performances harris , are phifering and cam ` ron are sealing deal .	1
would have liked it more if it had just gone that one step further	1
it 's too harsh work as a piece of storytelling ,	0
hawaiian shirt	1
takes a classic story , casts attractive and talented actors and uses a magnificent landscape create a feature films that is wickedly fun watch .	1
are providing its keenest pleasures	1
altogether too slight be called any kind of masterpiece	0
grievous but	0
after y'all laugh once ( maybe twice ) , y'all is coming to have completely forgotten movie times y'all get it back your car parking lot .	0
hopeless	0
unpretentious , charming , quirky , original	1
nicks and steinberg match their own creations pure venality -- that 's giving it the old college try .	0
too well-wrote and too well-acted .	1
are n't many conclusive answers films	0
clumsy dialogue , heavy-handed phoney-feeling sentiment ,	0
are proving a lovely trifle that , unfortunately , is a little too love its own cuteness .	0
are bringing tissues .	1
films 's mid-to-low budget is betrayed by the surprisingly shoddy makeup works .	0
brings the proper conviction to his role as ( jason bourne ) .	1
as a young woman of great charm , generosity and diplomacy	1
there 's something poignant an artist 90-plus years taking effort share his impressions life and loses and times and art us .	1
just too silly	0
cinematic bon bons	1
is supremely unfunny and unentertaining watch middle-ages and	0
a lively and engaging examinations how similar obsessions can dominate a family .	1
irritates and	0
are collapsing	0
so many of challenges it is posing for itself that one can forgive films its flaws	1
, it is serving a workable primer region 's recent historys , and would make a terrific 10th-grade learning tool .	1
wide-awake all way	1
( vainly , i am thinking )	0
is one big excuse play one lewd scene another .	0
is effective if you stick it	1
that underscore importances of family traditions and familial community	1
watching this digital-effects-heavy , supposed family-friendly comedy	0
absolutely and completely ridiculous and	0
's a too tasteful rocks and roll movie .	1
movie is almost completely lacking suspense , surprise and consistent emotional conviction .	0
realistic portrayal	1
as if trying it grab a lump of play-doh , the harder that liman is trying squeeze his story	0
well-thought stunts or	1
are revealing how important our special talents can be when put service others .	1
no lika da	0
a welcome reliefs	1
promise digital filmmaking	1
just one that could easy wait for your pays per view dollar	0
are justifying a theatrical simulation deaths camp auschwitz ii-birkenau	0
extraordinary faiths	1
have i saw a films so willing champion fallibility the human hearts	1
, sometimes beautiful adaptations	1
about as interesting	0
overlong , and bombastic	0
derivative and hammily	0
most audacious , outrageous ,	1
at its best moments	1
disney again ransacks its archives a quick-buck sequel .	0
that final , beautiful scene	1
some movies are sucking you in their flaws ,	1
eats , meddles , argues , laughs , kibbitzes and fights	1
problem films is whether these ambitions , laudable themselves , to justify a theatrical simulation deaths camp auschwitz ii-birkenau .	0
, compelling	1
infectiously	1
picture runs a mere 84 minutes , but it 's no glance .	1
think this dog a movie	0
those so-so films that could have been much more better	0
a passable date films	1
imax in short	1
i hate it .	0
's pleasant enough -- and oozing attractive men	1
no one involved , is saving dash , are showing the slightest aptitude acting	0
in this wildly uneven movie	0
pokes , provokes , are taking expressionistic license	1
one ( spears ' ) musics videos contents -- that it is going on at least 90 much minutes and , worse , that y'all have pay if y'all are wanting see it	0
with color and depth , and rather a good times	1
silly , outrageous , ingenious	1
being able hit a 15-year old when y'all 're over 100	0
the story of trouble every day ... is so sketchy it is amounting to little more than preliminary notes for a science-fictions horrors films , and movie 's fragmentary narrative style is making piecing story together frustrating difficult .	0
year best and most unpredictable comedy	1
starts off so bad that y'all feel like running out screaming	0
mans black ii achieve ultimate insignificance -- it 's sci-fi comedy spectacle whiffle-ball epic .	0
elvira fans could hardly ask more .	1
a good one	1
, plodding picture	0
characters dramas , which never reach satisfying conclusions	0
lost translations these times	0
are speaking it while it is forcing y'all ponder anew what a movie can be	1
are enabling are shafering navigate spaces both large ... and small ... considerable aplomb	1
a plot cobbled together largely flat and uncreative moments	0
inane and awful	0
telled scattered fashions	0
are taking chances that are bold studio standards	1
are believing it or not , jason actually is taking a backseat in his own films to special effects	0
whole mess	0
manage infuse the rocky path to sibling reconciliation with flashes of warmths and gentle humor	1
are enjoying ride	1
too little add beyond the dark visions already relayed by superb recent predecessors	0
the , yes , snail-like pacing	0
an extremely unpleasant films .	0
if it are n't entirely persuasive , it do give exposures some talented performers	1
the whole affair , true story or not , feels incredibly hokey ...	0
poignant and leavened	1
breathless anticipation	1
significantly better	1
as predictable tides	0
bewilderingly brilliant and entertaining	1
it 's smooth and professional	1
, unassuming , subordinate	0
horrors	0
a technically superb films	1
the positive changes tone here seem have recharged him .	1
pays earnest homage turntablists and beat jugglers , old schoolers and current innovators	1
a dim	0
, vicious and absurd	0
because he act so goofy all times	0
to a kinetic life so teeming that even cranky adults may rediscover quivering kid inside	1
's at once laughable and compulsively watchable ,	1
merit its 103-minutes length	1
value and respects term epic cinema	1
as a dentist 's waiting rooms	0
showing honest emotions	1
amazingly lame .	0
confessions may not be a straightforward bio	0
seems a disappointingly thin slice of more lower-clases london life ; despite title ... amounts to surprisingly little	0
story is bogus and	0
this comic gem is as delightful as it is derivative .	1
spare wildlifes	1
ugly the shabby digital photographys	0
are understanding differences between dumb funs and just plain dumb	0
traditionally structured	1
frida is n't that much different many a hollywood romance .	0
do point way for adventurous indian filmmakers toward a crossover into nonethnic markets .	1
was produced by jerry bruckheimer and directed by joel schumacher , and are reflecting worst their shallow styles : wildly overproduced , inadequately motivated every step way and demographically targeted please every one ( and no one )	0
carnage and	0
degraded , handheld blair witch videos-cam footage	0
second fiddle	0
about folly superficiality that is itself	0
are serving as auto-critique , and its clumsineses as its own most damning censure .	0
tedious norwegian offering which somehow snagged an oscar nominations .	0
, esther kahn is unusual but unfortunately also irritating .	0
a stylish exercises	1
halfway through this picture i was beginning hate it	0
a setup so easy it is bordering on facile	0
a thoroughly awful movie	0
take hold and grips hard	1
are looking smeary and blurry , point distraction	0
picture fascinating byways	1
guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves	0
breezy , distracted rhythms	0
than this mess	0
evanescent , seamless and sumptuous stream	1
slick and manufactured claim street credibility .	1
take cares is nicely performed by a quintet of actresses ,	1
valuable messages	1
in no small part thanks lau	1
two guys who desperately want be quentin tarantino when they grow up	0
no new plot conceptions	0
essentially a collection of bits --	0
do n't bode well rest it	0
elevated by it -- kind movie	1
usual worst	0
hugh grant , who has a good line charm	1
arrive early and stay late	1
is a pan-american movie , with moments of genuine insights into the urban hearts .	1
i could have used my two hours better watching being john malkovich again .	0
shooted artful , watery tones blue , green and brown	1
an unorthodox little films noir organized crimes story that include one of strangest	1
considerable aplomb	1
acted by diane lane and richard gere .	1
scant	0
an admittedly middling films	1
too ludicrous	0
rocks 's fighting skills are more in line with steven seagal	1
rich and full	1
warm waters a red bridge are a celebration feminine energys , a tribute powers women heal .	1
that use a sensational , real-life 19th-century crimes a metaphor	1
, home movie is coming to leave you wanting more , not mention leaving you some laughs and a smile your face .	1
, films retain ambiguities that make it well worth watching .	1
ultra-cheesy dialogue	0
added depth and resonance	1
sensational	1
huge-screen format make an old-fashioned natures films that educate viewers words and pictures while entertaining them	1
handsome but unfulfilling suspense dramas	0
's not too good either .	0
in her most charmless	0
make an unusual but pleasantly haunting debut behind camera .	1
everything about girls ca n't swim , even its passages of sensitive observations , feels secondhand , familiar -- and not in a good way .	0
cast is spot on and	1
ugly digital videos	0
can only love players it is bringing to fore gifted but no-nonsense human beings they are and for the still-inestimable contribution they make our shared historys	1
rather choppy	0
are becoming one more dumb high schools comedy about sexes gags and prom dates	0
demands and receives excellent performances	1
xxx is a blast adrenalin ,	1
pure escapism	1
create a films that 's not merely kicking undead ***	1
about love and culture	1
is more worse :	0
horrifying	0
mourn her tragedies private	0
actions scenes are poorly delivered	0
it 's so bad	0
so bad	0
, 84 minutes is short	1
dabbles all around , never gaining much momentum	0
a masterpiece	1
a lot do casting juliette binoche sands , who brings to role her pale , dark beautys and characteristic warmths	1
does n't leave y'all much .	0
good acting	1
most jaglom 's films , some it honestly affecting	1
marivaux 's rhythms , and mira sorvino 's limitations as a classical actress	0
is less successful other levels	0
's still quite worth seeing	1
intelligent and moving .	1
he is appearing miserable as he is swaggering his scenes	0
mans	1
accomplish what few sequels can	1
a clunky tv-movie approach detailing a chapter life the celebrated irish playwright , poet and drinker	0
exhilarating , funny and fun .	1
bound appeal women looking a howlingly trashy times	1
, it never quite makes grade as tawdry trash .	0
has the right stuff silly summer entertainments and has enough laughs sustain interests end .	1
endearing , caring	1
seagal , who is looking more danny aiello these days	1
enactments , however fascinating it may be as historys , are too crude serve works especially well .	0
not everything this ambitious comic escapade works , but coppola , his sister , sofia , is a real filmmaker	1
the dehumanizing and ego-destroying process	0
taboo subject matters	0
see this	1
utterly incompetent conclusion	0
y'all are finding yourselves rooting for gai 's characters avoid fates that have befell every other carmans before her	1
run cover	0
low budget	0
a deceptively casual ode	1
help chicago to make transitions stage to screen considerable appeals intact	1
you ellen pompeo sitting next to you for ride	1
a giant step backward	0
true fans	1
just copies	0
quite rich and exciting	1
luminous interviews and amazingly evocative films from three decades ago	1
from lynch , jeunet , and von trier while failing find a spark its own	0
, you ca n't help but get caught up thrill companys 's astonishing growth .	1
this frozen tundra soaps opera	0
a showdown	1
is simply too overdone	0
greatly	1
free	1
intriguing species	1
are trying and are evading	0
already had , who had a successful career tv	1
watching it leave y'all giddy	1
beautifully acted and directed , it 's clear that washington most certainly has a new career ahead him if he so is choosing .	1
far tamer	0
outrageously creative actions	1
the most purely enjoyable and satisfying evenings	1
is never any question of how things is coming to turn out	0
only are opening new wounds	0
despite suffering a sense--humours failure	0
for a story	1
in additions to hoffman 's powerful acting clinic	1
right stuff	1
the wonderful cinematography and naturalistic acting	1
high-concept films	1
are sleepwalking vulgarities a sequel y'all can refuse	0
with no reasons being	0
just about all films confusing one level or another , making ararat far much demanding than it needs it be .	0
invigorating , surreal , and are resonanting	1
chateau , a sense of light-heartedness , that make it attractive throughout	1
have a passions materials	1
maybe it is formula filmmaking , but there 's nothing wrong that if films are well-crafted and this one are .	1
a movie that ca n't get sufficient distance leroy 's	0
romanticized rendering	1
is terrific rachel	1
of special effects that run gamut from cheesy to cheesier cheesiest	0
the most worst films a man makes womans valley dolls	0
are coming , already having been recycled more times than i 'd care count	0
with awe	1
joyous romp a films .	1
a nonstop hoot	1
, partisans and sabotage	0
gory scenes torture and self-mutilation	0
just as the recent argentine films son bride reminded us that a are feeling-good movie can still show real hearts	1
ub equally spoofs and are celebrating the much outre aspects ` black culture ' and dorkier aspects ` white culture , ' even as it is pointing out how inseparable two are .	1
package which this fascinating -- and timely -- content is comesing wrapped is disappointingly generic .	0
this obscenely bad dark comedy , so is crassing	0
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolations	1
exciting and	1
schticky	0
and in the most best way	1
of our most flamboyant female comics	1
squareness that would make it darling many a kids-and-family-oriented cable channel	1
these films special	1
of the amazing spider-man	1
the stomach-turning violences	0
could use a little more humanitys	0
not everything	0
a slow-moving polouses-procedural thriller	0
a bad idea frame one	0
terrific , sweaty-palmed funs	1
too funny joke	1
volletta wallace 's maternal fury	0
complex story	1
atop wooden dialogue	0
that it progresses such a low-key manner that does it risk monotony	0
be burns strongest films since brothers mcmullen	1
ca n't miss it	1
dover kosashvili 's outstanding feature debut so potent	1
the most best short story writing	1
it is seeking excitement manufactured high dramas	0
feeble comedy .	0
an insult to every family	0
it is essentially empty	0
of films problems	0
makes my big fat greek wedding to look an apartheid dramas	0
are not even half interests .	0
never achieve popularitys my big fat greek wedding	0
right now , they 're merely signposts marking slow , lingering deaths imaginations .	0
appealing characters quirks forgive that still serious problem	1
often are lingering just as long on irrelevant as on engaging , which gradually is turning what times are there ?	0
energys it take describe how bad it is	0
are waiting see it then .	0
could easy be called the best korean films 2002	1
most largest-ever historical canvas	1
a solid cast , assured directions and complete lacks modern day ironys .	1
comatose ballerinas	0
oh-so-important	1
of road , where the thematic ironies are too obvious and the sexual politics too smug	0
formulaic equations	0
Are a works that , humor , warmths , and intelligences , is capturing a life interestingly lived	1
are deserving a passing grade	1
y'all 're gon like this movie .	1
simply stupid , irrelevant	0
are weaving both elements plot and a powerfully evocative mood combining heated sexuality a haunting sense malaise .	1
a heavy-handed indictment parental failings and	0
felt performances across board .	1
are seeming weird and distanced	0
did finally already make a movie that is n't just offensive	1
casual and funs	1
plodding mess	0
the weird thing the santa clause 2 , purportedly a children 's movie , is that there is nothing it engage children emotionally .	0
films 's intimate camera works	1
you 'll find yourself wishing that you and it were another movie .	0
of dishonestys	0
as bestial	0
as is a loose collection not-so-funny gags , scattered moments lazy humor	0
, they are proving much distressing suspenseful .	0
crackles	1
a fairly revealing study its two main characters	1
high dramas , disney-style	1
may be genial ingenious , but it get job done .	1
, good actions , good acting , good dialogue , good pace , good cinematography .	1
her bullys a husband	0
gaghan ... threw every suspenseful cliché in book at this nonsensical story .	0
the darker elements misogyny and unprovoked violences are suffocating illumination created by the two daughters	0
oozing , chilling and hearts-warming	1
stale retread	0
filming the teeming life reefs	1
quite endearing .	1
with fewer gags break tedium	0
overbearing and	0
deep deceptions	0
things is coming to turn out okay	1
paranoid claustrophobia of a submarine movie with the unsettling spookiness of supernatural	1
grand	1
good-natured funs found films tremors	1
better it	1
are transfixing audience	1
moving and important	1
dope	1
an avid interests	1
blessed two fine , nuanced leads performances	1
true star	1
hampered -- no , paralyzed -- by a self-indulgent script ...	0
is expressly idiots which do n't care what kind sewages they shovel their mental gullets simulate sustenance .	0
which nurse plot holes gaping enough pilot an entire olympic swim team	0
that 's both charming and well acted	1
a bad blend	0
guy-in-a-dress genre	1
director claude chabrol becomes master of innuendo .	1
riveting and	1
excruciatingly unfunny and pitifully unromantic .	0
war movies	0
an inuit masterpiece	1
oscar	1
the cliché-laden screenplay	0
girlfriends are bad , wives are more worse	0
are providing much more insights	1
, and as easy be bored by as your abc ,	0
what y'all wish	1
fluid and mesmerizing	1
... a vivid , thoughtful , unapologetically raw coming-of-ages tale full of sexes , drugs and rocks 'n' roll .	1
it 's a testament films considerable charm that it succeeds entertaining , playing out a feature-length sitcom replete stereotypical familial quandaries .	1
ransacks	0
are lacking charisma and ability carry films on his admittedly broad shoulders .	0
book report	0
leave theater	0
spousal abuses	0
director , with his fake backdrops and stately pacing ,	0
a diverse and astonishingly articulate cast palestinian and israeli childs .	1
anyone who is suffering these films	0
one carried by a strong sense humanism	1
all its brilliant touches , dragon lose its fire midway , nearly flickering out its perfunctory conclusion .	0
another entertaining romp from robert rodriguez .	1
directed purpose and finesse by england 's roger mitchell , which handily makes move pleasing , relatively lightweight commercial fare such notting hill commercial fare real thematic heft .	1
it 'll probably be in videos stores by christmas	0
funny , triumphant ,	1
underachiever	0
a films ideas and wry comic mayhem	1
of moviegoers real characters and compelling plots	1
dime-store ruminations	0
worth a	1
, reality shows -- reality shows for god sakes !	0
'll cry for your moneys back	0
enthralling	1
is worse : part where nothing 's happening it , or part where something 's happening it	0
like max rothman future , are not working .	0
of quirky characters and an engaging story	1
has the thrown-together feel a summer-camp talents show : hastily written , underrehearsed , arbitrarily plotted and	0
making kahlo art a living ,	1
bad run	0
may just end up trying drown yourselves a lake afterwards .	0
many pleasures	1
is worth searching out	1
these times , this cast , this movie is hopeless	0
times bombs	0
balance both traditional or modern stories together a manner that one never overwhelm other .	1
surface histrionics failing compensate for the papers-thin characterizations and are faciling situations	0
a sour tastes in one mouth	0
decent performances	1
... familiar and predictable , and 4/5ths it might as well have came a xerox machine rather than ( writer-director ) franc .	0
a headline-fresh thriller set orthodox jews west bank , joseph cedar time favor is managing not only find a compelling dramatic means addressing a complex situation , it does so compromising that complexity .	1
responsible one the worst movies one year	0
appalling , shamelessly manipulative and contrived	0
movie love	1
human darkneses	0
are understanding that idea exploiting molestation laughs is funny , not actually exploiting it yourself	0
it 's too loud shout insults at screen	0
's a long way from orwell 's dark , intelligent warning cry ( 1984 )	0
a coming-of-ages films that avoid cartoonish clichés and sneering humor of genre as it provides a fresh view of an old types --	1
the perfect movie	1
ardently waste viewers ' times with a gobbler like this	0
oscar-sweeping franchise predecessor	1
it is setting out no pretensions and are delivering big time	1
give you enough feel good	1
unexpectedly insightful	1
allen romantic comedies so pertinent and enduring	1
are an extraordinary films , not least	1
a doubt	0
maudlin or	0
with wisdom and humor of its subjects	1
a party-hearty teen flick that scalds acid .	0
wan , thinly sketched story	0
are providing funniest moments this oddly sweet comedy jokester highway patrolmans	1
this romantic/comedy is asking question how much souvlaki can y'all take before indigestion sets in .	0
again are dazzling and are delighting us	1
that beneath the familiar , funny surface is a far more bigger , far more meaningful story than one in which little green men are coming to earths for harvesting purposes	1
impresses as a skillfully assembled , highly polished and professional adaptations ... just about as chilling and unsettling as ` manhunter ' was .	1
failure construct a story even a trace dramatic interests	0
but it also is coming lazineses and arrogances a thing that already is knowing it 's won .	0
it are a frightful vanitys films that , no doubt , pay off what debt miramax feeled they owed to benigni .	0
laughed	1
, future lizard endeavors is coming to need adhere much close laws laughters	0
a philosophical void	0
unlikable characters and a self-conscious sense	0
intelligences or invention	1
hot hardwood prove once again that a man drag is not and of himself funny .	0
hopelessly juvenile	0
shakespearean -- both in depth and breadth --	1
unique directing style	1
required give this comic slugfest some hearts	0
hip hop beated	1
feel more literary conceits fleshs-and-bloods humans	0
no explanation	0
funniest and	1
a chilly , remote , emotionally distant piece ... so dull that its tagline should be	0
starts off witty and sophisticated and y'all	1
a bargain-basement european pickup	0
, but what really set films apart is debrauwer refusal push the easy emotional buttons	1
shines all characters , as directions are intelligently accomplished	1
taps into the primal fears of young persons trying cope with the mysterious and brutal natures of adults	1
are leading a group talented friends astray	1
it 's just weirdness sakes weirdness , and where human natures should be ingratiating , it 's just grating .	0
this gentle , mesmerizing portrait	1
genial is conceit , this is one those rare pictures that you root throughout ,	1
draws audience into the unexplainable pain and eccentricities that are attached to concept of loses	1
spliced together bits and pieces midnight run and 48 hours ( and , those matters , shrek )	0
is so busy making reference to other films and trying be other films that does it fail have a hearts , mind or humor of its own	0
it lack compassions , good-natured humor and level of insights that made ( eyre 's ) first films something of a sleeper succeses .	0
are handling it in the most unexpected way	1
that eternally devoted insanity black is coming to have an intermittently good times .	1
obscenely bad	0
devastatingly	0
i am n't seeing point	0
are coming off a bad imitation bard	0
that is exciting imagination and are tickling the funny bone	1
one of its strengths	1
of masterpiece	1
into this dream hispanic role with a teeths-clenching gusto	1
stiff or just plain bad	0
are making this lifes are counting	1
are jolting laughs audience --	1
a delightful stimulus	1
has no point	0
of isolations and frustrations	0
winning shot	1
of its musics or comic antics , but through the perverse pleasure watching disney to scrape bottom its own cracker barrel	0
feeling guilty for it ... then , miracle of miracles , movie does a flip-flop .	1
lewis	1
that there are no other reasons why anyone should bother it remembering it	0
bogdanovich put historys perspectives and , via kirsten dunst 's remarkable performances , he showcases davies a young woman great charm , generosity and diplomacy .	1
father cliché	0
domestic tensions and unhappineses	0
effort is sincere and results are honest , but films are so bleak that it 's hardly watchable	0
called the best korean films of 2002	1
one of the best rocks	1
it is forcing you watch people doing unpleasant things to each other and theirselves	1
of holiday box office pie	1
inexpressible and drab wannabe	0
hails of bullets , none of which ever seem hit	0
like an extended , open-ended poem a traditionally structured story	1
's about as convincing any other arnie most musclefest , but have a little too much resonance real world events and	0
hate	0
be mesmerised	1
persons who loved the 1989 paradisos is coming to prefer this new version	1
a lot of energys	1
for its succeses on a patient viewer	1
while tattoo borrows heavily both seven and silences lambs , it manages maintain both a level sophisticated intrigues and human-scale characters that suck audience in .	1
this may be burns strongest film since brothers are mcmullening .	1
turned down	0
timely , tongue-in-cheek	1
undramatic	0
pile useless actioners	0
morton deserve an oscar nominations .	1
weirdly engaging and unpredictable characters pieces	1
efficiencys and an affections period	1
manage accomplish what few sequels can -- it equal original and in some ways even better it	1
are not working .	0
it is n't merely offensive	0
are telling a story vietnam war before pathology set	1
it is irrigating our souls .	1
a hint humor	1
with a big hearts	1
a rollicking adventure y'all and all your mateys , regardless their ages	1
there are laughs aplenty , and , as a bonus , viewers do n't have worry about being subjected to farts , urine , feces , semans , or any of the other foul substances that have overrun modern-day comedies	1
one of that rare films that is seeming as though it was wrote for no one , but somehow are managing convince almost everyone that it was put on screen , just for them .	1
maked a decent ` intro ' documentary	1
make us to see familiar issues , like racisms and homophobia , in a fresh way .	1
film is going right over edge and are killing every sense of believability	0
a beyond-lame satires , teddy bears ' picnic rank among the most pitiful directing debuts by an esteemed writer-actor .	0
emotional seesawing	0
movies courages go top and movies that do n't care being stupid	1
target audience n't already graduated junior high schools	0
these intricately structured and well-realized dramas	1
embracing	1
films a celluloid litmus test the intellectual and emotional pedigree your date and a giant step backward a director i admire	0
a meditation faiths and madness , frailty is bloods-curdling stuff .	1
a pretty listless collection	0
other its oscar-sweeping franchise predecessor	1
have been called freddy gets molested by a dog	0
moody male hustler	0
uselessly redundant and shamelessly moneys-grubbing most third-rate horrors sequels	0
film is filled with humorous observations about the general absurdity of modern life as saw through eyes outsiders , but deftly are managing avoid many of condescending stereotypes that so often is plaguing films dealing with the mentally ill	1
which is mostly a bore	0
an entertaining mix period dramas and flat-out farces that should please historys fans	1
are suspecting that you 'll be as bored watching morvern callar as characters it .	0
problems and characters it reveal are universal and involving , and films itself -- as well its delightful cast -- are so breezy , pretty and gifted , it really won my hearts .	1
love this movie	1
... efforts of its star , kline , lend some dignitys to a dumb story are for naught .	0
flat as the scruffy sands of its titular community	0
liberal doses dark humor , gorgeous exterior photographys , and a stable-full solid performances	1
are working smoothly	1
with a creepy and dead-on performances	1
placed pantheon best swashbucklers	1
a satisfyingly unsettling ride	1
good a job anyone	1
, smart and complicated	1
the intimate , unguarded moments of folks who live in unusual homes --	0
are pretty valuable this days	1
( i ) t 's certainly laudable that movie is dealing with hot-button issues in a comedic contexts , but barbershop is n't as funny as it should be .	0
that the only rip off that we were aware	0
beautiful watch and	1
accentuating	1
no quarter anyone seeking pull a cohesive story its 2 1/2 - hours running times	0
a wonderful ensemble cast	1
endear	1
the truly funny bits	1
's that painful .	0
american beautys reeks	0
clotted with heavy-handed symbolism , dime-store psychologys and endless scenic shots that make 105 minutes seem twice as long	0
without any of its sense of funs or energys	0
be cat meow	1
's simply stupid , irrelevant and deeply	0
wonderland adventure , a stalker thriller , and	1
be part of	1
cinema historys as the only movie ever	1
comes a renowned indian films culture that allow americans finally revel its splendor	1
accomplished oscar winners	1
of that underrated professionals which is deserving but rarely are receiving it	1
we are finding ourselves surprised how much we are caring story	1
an all-times low	0
enjoyed it just	1
reacting to it - feeling a part of its grand locations ,	1
delivered such conviction that it 's hard not be carried away	1
colorful , vibrant introduction	1
the slow parade human frailty is fascinating y'all	1
famuyiwa 's feature deals its subject matters a tasteful , intelligent manner , rather forcing us endure every plot contrivance that the cliché-riddled genre can offer .	1
a laugh them	1
that gradually is sneaking up audience	1
photographic marvel	1
is shockingly bad and absolutely unnecessary .	0
gets vivid performances her cast and pulls off some deft ally mcbeal-style fantasy sequences .	1
result , however well- , is ironically just the sort disposable , kitchen-sink homage that illustrates why whole is so often less sum its parts today 's hollywood .	0
while not for every tastes , this often too funny collegiate gross-out comedy go a long way toward restoring luster of national lampoon films franchise , too long reduced to direct-to-videos irrelevancy .	1
wow ' factor	1
brazil-like , hyper-real satires	1
low both suspense and payoff	0
find a scathing portrayal of a powerful entity strangling life out of persons who want believe in it most	1
an absolute delights all audiences	1
would tax einstein brain .	0
's its first sign trouble	0
ca n't believe anyone would really buy this stuff	0
moonlight mile should strike a nerves in many .	1
if ever such a dependable concept was botched execution	0
wedding feel a bit anachronistic .	0
been lost in translations these times	0
revelatory performances	1
the pianist like a surgeon mends a broken hearts ; too meticulously but without any passions	0
are remainsing oddly detached	0
that is more complex and honest anything represented a hollywood films	1
nifty premise	1
vein	1
wonderfully lush morvern callar is pure punk existentialism , and	1
go down a ship leaky	0
earnest movie	1
effective enough	1
showing us well-thought stunts or a car chase that we n't see 10,000 times	1
are making films silly than scary , like some sort of martha stewart decorating program runned amok	0
going a rapid pace ,	1
still fun and enjoyable and	1
a lazy exercises in bad filmmaking	0
this thing is virtually unwatchable .	0
's also undeniably exceedingly clever	1
would ever work a mcculloch productions again if they looked how this movie turned out	0
an entertainments destination for the general publics	1
